Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
STARD5,0.093,6.20E-01
STARD7,-0.066,6.46E-01
STARD8,-0.110,3.00E-01
STARD9,-0.103,1.65E-01
STAT1,-0.036,6.95E-01
STAT2,-0.185,1.27E-01
STAT3,-0.059,6.34E-01
STAT4,0.036,5.71E-01
STAT5A,-0.138,3.47E-01
STAT5B,-0.018,8.85E-01
STAT6,0.221,1.46E-01
STAU1,0.019,3.86E-01
STAU2,-0.026,7.71E-01
STAU2-AS1,-0.029,3.68E-01
STC1,-0.012,9.33E-01
STC2,-0.033,9.53E-01
STEAP1,0.147,2.29E-01
STEAP1B,-0.164,3.57E-01
STEAP2,0.150,3.08E-01
STEAP3,0.053,8.14E-01
STH,-0.048,8.04E-01
STIL,-0.005,8.45E-01
STIM1,0.181,1.10E-01
STIM2,-0.003,7.57E-01
STIP1,0.122,4.77E-01
STIP1P2,0.023,5.90E-01
STK10,-0.021,5.15E-01
STK11,0.117,2.43E-01
STK11IP,0.145,7.36E-02
STK16,-0.016,9.07E-01
STK16P1,-0.008,7.47E-01
STK17A,0.086,2.52E-01
STK17B,0.078,1.64E-01
STK19,0.082,5.07E-01
STK19B,-0.335,1.19E-01
STK24,0.151,9.60E-02
STK25,0.054,6.13E-01
STK3,-0.061,3.12E-01
STK32A,-0.127,3.82E-01
STK32C,0.309,1.19E-01
STK33,0.012,6.64E-01
STK35,0.160,7.31E-02
STK36,0.310,4.03E-02
STK38,0.024,9.11E-01
STK38L,-0.016,8.01E-01
STK39,-0.096,1.75E-01
STK4,-0.045,6.55E-01
STK40,0.100,4.05E-01
STMN1,-0.086,3.27E-01
STMN1P1,-0.003,9.88E-01
STMN2,0.136,5.45E-01
STMN3,0.454,1.11E-01
STMN4,-0.185,3.70E-01
STOM,-0.080,7.34E-01
STOML1,0.131,4.86E-01
STOML2,0.036,7.58E-01
STON1,-0.156,2.64E-01
STON2,0.008,9.24E-01
STOX1,0.089,1.86E-01
STOX2,-0.024,8.76E-01
STPG1,-0.056,9.85E-01
STPG2,-0.107,4.22E-01
STRA13,-0.011,9.97E-01
STRADA,-0.009,8.25E-01
STRADB,-0.101,3.95E-01
STRAP,-0.013,8.75E-01
STRBP,0.064,4.79E-01
STRC,0.273,8.70E-02
STRIP1,0.012,9.80E-01
STRIP2,0.044,5.50E-01
STRN,-0.196,1.01E-01
STRN3,-0.051,4.77E-01
STRN4,0.140,2.58E-01
STS,0.187,2.20E-01
STT3A,-0.074,3.67E-01
STT3B,-0.083,2.88E-01
STUB1,0.045,7.18E-01
STX10,0.002,8.71E-01
STX12,-0.163,7.27E-02
STX16,-0.064,2.80E-01
STX16-NPEPL1,0.044,9.07E-01
STX17,-0.053,3.39E-01
STX18,-0.054,5.17E-01
STX18-AS1,-0.011,7.42E-01
STX1A,0.341,3.02E-01
STX1B,0.586,8.92E-02
STX2,0.003,8.49E-01
STX3,0.039,4.49E-01
STX4,-0.120,2.40E-01
STX5,0.013,8.00E-01
STX6,-0.058,2.33E-01
STX7,-0.129,1.91E-01
STX8,-0.012,8.28E-01
STXBP1,0.426,1.88E-01
STXBP2,-0.028,9.03E-01
STXBP3,-0.377,6.03E-02
STXBP4,-0.041,6.05E-01
STXBP5,0.050,3.59E-01
STXBP5-AS1,0.068,6.37E-01
STXBP5L,0.168,3.88E-01
STXBP6,-0.069,3.86E-01
STYK1,0.110,4.59E-01
STYX,-0.162,7.22E-02
STYXL1,0.022,7.34E-01
SUB1,-0.089,7.82E-01
SUB1P2,-0.011,8.32E-01
SUB1P4,-0.003,6.10E-01
SUCLA2,-0.028,9.96E-01
SUCLG1,-0.066,3.52E-01
SUCLG2,-0.139,3.44E-01
SUCLG2-AS1,0.032,3.12E-01
SUCLG2P1,-0.028,5.83E-01
SUCO,-0.122,8.87E-02
SUDS3,0.048,4.58E-01
SUDS3P1,0.273,6.28E-02
SUFU,-0.012,8.97E-01
SUGP1,0.047,8.35E-01
SUGP2,0.113,2.06E-01
SUGT1,-0.074,3.44E-01
SUGT1P1,-0.045,7.04E-01
SUGT1P2,0.005,7.17E-01
SUGT1P3,-0.116,4.41E-01
SULF1,0.026,7.59E-01
SULF2,-0.022,3.82E-01
SULT1A1,0.277,1.36E-01
SULT1A2,0.102,4.61E-01
SULT1A3,0.114,4.17E-01
SULT1A4,-0.080,6.08E-01
SULT1C4,-0.040,8.89E-01
SULT2A1,-0.063,6.51E-01
SULT4A1,0.159,4.83E-01
SUMF1,-0.128,1.22E-01
SUMF2,-0.106,1.58E-01
SUMO1,-0.003,9.29E-01
SUMO1P3,-0.069,6.60E-01
SUMO2,-0.102,3.11E-01
SUMO2P11,0.006,6.25E-01
SUMO2P19,-0.089,4.25E-01
SUMO2P2,0.301,5.92E-02
SUMO2P8,-0.059,4.78E-01
SUMO3,0.015,7.37E-01
SUMO4,0.016,9.82E-01
SUN1,0.010,8.35E-01
SUN2,-0.156,2.96E-01
SUOX,0.012,5.13E-01
SUPT16H,-0.014,7.54E-01
SUPT20H,-0.025,8.70E-01
SUPT3H,-0.005,8.99E-01
SUPT4H1,0.029,4.25E-01
SUPT5H,-0.031,4.33E-01
SUPT6H,0.018,9.17E-01
SUPT7L,-0.071,3.35E-01
SUPV3L1,0.017,9.74E-01
SURF1,-0.052,3.10E-01
SURF2,0.019,9.33E-01
SURF4,-0.047,5.42E-01
SURF6,-0.034,3.40E-01
SUSD1,0.027,6.80E-01
SUSD3,-0.024,5.47E-01
SUSD4,0.225,2.76E-01
SUSD5,0.123,4.38E-01
SUSD6,-0.015,9.03E-01
SUV39H1,-0.016,4.36E-01
SUV39H2,0.023,5.58E-01
SUV420H1,-0.088,8.49E-02
SUV420H2,-0.104,5.02E-01
SUZ12,0.027,6.95E-01
SUZ12P1,0.066,7.16E-01
SV2A,0.219,2.23E-01
SV2B,0.089,5.44E-01
SV2C,0.129,4.25E-01
SVEP1,-0.215,2.65E-01
SVIL,0.208,3.77E-01
SVIL-AS1,0.001,7.08E-01
SVIP,-0.196,1.11E-01
SVOP,0.048,6.39E-01
SWAP70,0.044,7.04E-01
SWI5,-0.109,2.33E-01
SWSAP1,-0.077,1.88E-01
SWT1,-0.056,2.20E-01
SYAP1,-0.049,4.03E-01
SYBU,0.196,2.96E-01
SYCE1,0.166,3.48E-01
SYCP2,0.077,2.65E-01
SYCP2L,-0.029,8.17E-01
SYCP3,-0.053,9.43E-01
SYDE2,0.107,8.74E-02
SYF2,-0.084,1.26E-01
SYK,-0.136,4.86E-01
SYMPK,0.046,7.71E-01
SYN1,0.555,1.26E-01
SYN2,0.375,2.95E-01
SYN3,0.349,1.70E-01
SYNC,0.082,4.58E-01
SYNCRIP,-0.081,7.23E-02
SYNDIG1,0.013,7.49E-01
SYNE1,0.363,7.16E-02
SYNE2,0.156,4.72E-01
SYNE3,-0.184,2.04E-01
SYNGAP1,0.316,1.00E-01
SYNGR1,0.431,8.76E-02
SYNGR2,-0.211,3.22E-01
SYNGR3,0.379,1.78E-01
SYNJ1,0.013,6.17E-01
SYNJ2,-0.419,5.89E-02
SYNJ2BP,-0.040,3.47E-01
SYNM,0.051,8.08E-01
SYNPO,0.773,7.16E-02
SYNPO2,0.059,4.85E-01
SYNPR,0.029,6.26E-01
SYNRG,-0.027,2.89E-01
SYP,0.068,6.47E-01
SYPL1,-0.389,8.04E-02
SYS1,0.023,8.08E-01
SYS1-DBNDD2,0.099,5.28E-01
SYT1,0.142,5.48E-01
SYT10,0.145,1.50E-01
SYT11,-0.112,1.77E-01
SYT12,0.353,1.21E-01
SYT13,0.257,2.49E-01
SYT14,-0.024,9.67E-01
SYT15,0.018,9.32E-01
SYT16,0.132,4.63E-01
SYT17,0.082,2.52E-01
SYT2,0.250,3.15E-01
SYT3,0.416,6.86E-02
SYT4,0.192,4.62E-01
SYT5,0.383,2.02E-01
SYT6,0.036,8.97E-01
SYT7,0.787,7.77E-02
SYT9,-0.204,1.33E-01
SYTL2,0.024,7.62E-01
SYTL3,-0.006,8.60E-01
SYTL4,-0.272,3.43E-01
SYTL5,0.141,2.03E-01
SYVN1,-0.013,7.92E-01
SZRD1,-0.065,3.22E-01
SZT2,0.009,7.90E-01
TAB1,-0.069,2.98E-01
TAB2,0.102,1.86E-01
TAB3,-0.022,9.18E-01
TAC1,-0.094,9.65E-01
TAC3,0.137,3.23E-01
TAC4,0.032,9.07E-01
TACC1,-0.078,2.04E-01
TACC2,0.232,1.34E-01
TACC3,0.106,1.10E-01
TACO1,0.063,4.88E-01
TADA1,-0.119,6.22E-02
TADA2A,-0.044,1.86E-01
TADA2B,0.040,6.97E-01
TADA3,0.041,5.05E-01
TAF1,-0.071,1.20E-01
TAF10,-0.029,6.80E-01
TAF11,-0.111,8.74E-02
TAF12,-0.058,5.76E-01
TAF13,-0.046,9.91E-01
TAF15,-0.062,2.11E-01
TAF1A,0.004,9.76E-01
TAF1B,0.025,5.68E-01
TAF1C,0.121,2.67E-01
TAF1D,-0.080,6.31E-01
TAF2,-0.038,1.51E-01
TAF3,0.016,8.64E-01
TAF4,-0.022,6.19E-01
TAF4B,0.078,3.57E-01
TAF5,-0.025,4.64E-01
TAF5L,-0.066,9.14E-02
TAF6,0.296,5.69E-02
TAF6L,0.046,8.55E-01
TAF7,-0.032,5.68E-01
TAF8,-0.023,7.77E-01
TAF9,-0.001,9.75E-01
TAF9B,-0.170,1.00E-01
TAF9BP1,-0.009,9.20E-01
TAF9P3,-0.003,8.87E-01
TAGAP,-0.024,7.10E-01
TAGLN,-0.295,1.71E-01
TAGLN2,-0.119,3.44E-01
TAGLN2P1,0.109,3.34E-01
TAGLN3,0.081,6.25E-01
TAL1,-0.051,9.33E-01
TALDO1,-0.172,1.44E-01
TAMM41,-0.024,8.01E-01
TANC1,-0.187,1.91E-01
TANC2,0.115,1.58E-01
TANGO2,0.029,5.42E-01
TANGO6,-0.033,2.94E-01
TANK,-0.074,2.49E-01
TAOK1,-0.121,7.27E-02
TAOK2,0.025,9.20E-01
TAOK3,0.019,7.17E-01
TAP1,-0.119,5.44E-01
TAP2,-0.007,8.76E-01
TAPBP,0.047,1.85E-01
TAPBPL,-0.074,2.60E-01
TAPT1,-0.051,4.62E-01
TAPT1-AS1,-0.041,8.93E-01
TARBP1,0.051,9.82E-01
TARBP2,-0.014,6.12E-01
TARDBP,-0.056,4.31E-01
TARID,-0.063,2.62E-01
TARP,-0.146,1.65E-01
TARS,0.000,8.32E-01
TARS2,-0.038,7.75E-01
TARSL2,-0.245,6.86E-02
TAS2R10,-0.033,8.90E-01
TAS2R12P,-0.084,7.32E-01
TAS2R13,-0.055,8.10E-01
TAS2R14,-0.052,5.88E-01
TAS2R15P,-0.053,6.80E-01
TAS2R18P,-0.095,4.08E-01
TAS2R19,-0.105,2.78E-01
TAS2R20,-0.116,2.08E-01
TAS2R3,0.046,5.26E-01
TAS2R30,-0.147,1.45E-01
TAS2R31,-0.177,7.99E-02
TAS2R39,-0.198,4.19E-01
TAS2R4,-0.052,8.82E-01
TAS2R40,-0.221,2.80E-01
TAS2R43,0.006,9.80E-01
TAS2R46,-0.110,3.16E-01
TAS2R5,-0.114,5.30E-01
TAS2R50,0.024,7.45E-01
TAS2R63P,-0.061,7.41E-01
TAS2R64P,0.011,8.79E-01
TAS2R6P,-0.072,9.07E-01
TASP1,-0.056,6.03E-01
TATDN1,-0.173,3.63E-02
TATDN1P1,0.000,8.50E-01
TATDN2,0.070,2.64E-01
TATDN2P2,0.003,8.84E-01
TATDN3,-0.128,7.25E-02
TAX1BP1,-0.015,8.65E-01
TAX1BP3,-0.194,3.05E-01
TAZ,0.050,7.23E-01
TBC1D1,0.072,3.07E-01
TBC1D10A,0.057,5.72E-01
TBC1D10B,0.034,9.95E-01
TBC1D12,-0.396,7.84E-02
TBC1D13,0.009,9.62E-01
TBC1D14,0.029,2.35E-01
TBC1D15,-0.146,7.57E-02
TBC1D16,0.018,8.37E-01
TBC1D17,-0.028,6.73E-01
TBC1D19,0.008,7.02E-01
TBC1D2,-0.230,1.30E-01
TBC1D20,-0.035,4.61E-01
TBC1D22A,-0.050,3.80E-01
TBC1D22A-AS1,0.010,9.78E-01
TBC1D22B,0.040,5.09E-01
TBC1D23,-0.089,1.64E-01
TBC1D24,0.140,2.55E-01
TBC1D25,0.090,1.06E-01
TBC1D26,0.000,8.58E-01
TBC1D2B,0.022,8.40E-01
TBC1D30,0.217,1.89E-01
TBC1D31,-0.045,4.73E-01
TBC1D32,-0.102,9.59E-02
TBC1D3K,0.109,6.33E-01
TBC1D3L,0.270,3.07E-01
TBC1D4,0.107,3.22E-01
TBC1D5,-0.030,8.87E-01
TBC1D7,-0.076,5.66E-01
TBC1D8,0.026,7.11E-01
TBC1D8B,-0.045,5.94E-01
TBC1D9,0.121,3.81E-01
TBC1D9B,-0.030,5.86E-01
TBCA,-0.047,8.07E-01
TBCAP2,-0.061,6.93E-01
TBCB,-0.124,1.66E-01
TBCC,0.033,9.83E-01
TBCCD1,-0.006,6.05E-01
TBCD,0.054,6.84E-01
TBCE,0.009,8.55E-01
TBCEL,-0.089,1.00E-01
TBCK,0.046,2.19E-01
TBK1,-0.025,2.70E-01
TBKBP1,0.204,9.60E-02
TBL1X,0.044,6.27E-01
TBL1XR1,-0.112,3.37E-01
TBL2,-0.022,6.66E-01
TBL3,0.008,8.39E-01
TBP,-0.037,4.05E-01
TBPL1,0.056,4.60E-01
TBR1,0.428,1.61E-01
TBRG1,0.012,7.69E-01
TBRG4,0.010,9.94E-01
TBX18,0.074,7.03E-01
TBXA2R,0.023,8.71E-01
TBXAS1,-0.206,3.55E-01
TC2N,0.025,7.52E-01
TCAF1,-0.031,7.43E-01
TCAF1P1,0.028,7.89E-01
TCAF2,0.043,3.79E-01
TCAIM,-0.059,6.38E-01
TCAP,0.017,9.03E-01
TCEA1,-0.231,4.99E-02
TCEA1P2,-0.079,3.92E-01
TCEA1P4,-0.047,2.15E-01
TCEA2,0.101,5.16E-01
TCEA3,0.195,6.11E-02
TCEAL1,0.026,5.42E-01
TCEAL2,-0.079,8.93E-01
TCEAL3,-0.101,3.74E-01
TCEAL4,-0.065,3.58E-01
TCEAL5,0.070,5.19E-01
TCEAL6,0.082,5.40E-01
TCEAL7,-0.191,1.15E-01
TCEAL8,-0.071,4.09E-01
TCEANC,-0.027,8.32E-01
TCEANC2,-0.089,2.25E-01
TCEB1,-0.053,8.61E-01
TCEB1P19,-0.060,5.88E-01
TCEB1P28,-0.057,5.02E-01
TCEB1P31,-0.005,6.45E-01
TCEB2,0.050,8.91E-01
TCEB3,-0.028,1.48E-01
TCEB3CL,-0.088,8.39E-01
TCERG1,0.033,7.60E-01
TCERG1L,0.270,1.14E-01
TCF12,-0.208,1.96E-01
TCF20,0.072,1.30E-01
TCF25,0.025,9.47E-01
TCF3,0.019,9.23E-01
TCF4,-0.011,8.61E-01
TCF7,0.038,9.81E-01
TCF7L2,-0.039,6.26E-01
TCFL5,-0.164,1.66E-01
TCHP,-0.059,3.42E-01
TCIRG1,0.013,9.18E-01
TCN2,0.057,9.76E-01
TCOF1,0.081,3.46E-01
TCP1,-0.018,9.42E-01
TCP10L,0.158,8.05E-02
TCP11L1,-0.060,9.32E-01
TCP11L2,-0.391,7.62E-02
TCTA,-0.004,7.58E-01
TCTEX1D1,0.049,6.20E-01
TCTEX1D2,0.103,3.58E-01
TCTN1,0.032,9.70E-01
TCTN2,0.196,9.07E-02
TCTN3,-0.054,5.19E-01
TDG,0.007,9.83E-01
TDGF1P6,-0.003,7.33E-01
TDGF1P7,-0.004,9.33E-01
TDP1,-0.013,6.46E-01
TDP2,0.010,5.72E-01
TDRD3,-0.160,8.16E-02
TDRD6,0.069,3.71E-01
TDRD7,-0.034,8.69E-01
TDRD9,-0.078,4.76E-01
TDRG1,0.369,8.49E-02
TDRKH,0.020,6.12E-01
TDRP,0.010,5.19E-01
TEAD1,-0.004,9.30E-01
TEAD2,0.102,5.08E-01
TECPR1,0.076,4.83E-01
TECPR2,-0.166,6.16E-02
TECR,-0.047,6.46E-01
TECRP1,-0.074,6.26E-01
TEF,0.248,8.74E-02
TEFM,0.002,8.64E-01
TEK,0.063,9.32E-01
TEKT1,0.063,6.61E-01
TEKT4,-0.038,4.34E-01
TEKT4P1,-0.004,6.05E-01
TEKT4P2,-0.159,2.70E-01
TELO2,0.058,9.47E-01
TEN1,0.043,6.18E-01
TENM1,-0.039,9.57E-01
TENM2,0.399,1.01E-01
TENM3,0.136,3.86E-01
TENM4,0.152,2.06E-01
TEP1,0.003,9.37E-01
TERC,0.330,1.26E-01
TERF1,-0.059,3.36E-01
TERF2,0.050,4.50E-01
TERF2IP,-0.001,6.55E-01
TERF2IPP1,-0.180,1.39E-01
TES,-0.023,8.57E-01
TESC,0.220,1.91E-01
TESK1,0.108,2.54E-01
TESK2,-0.226,1.90E-01
TESPA1,0.476,1.83E-01
TET1,-0.102,1.78E-01
TET2,-0.066,4.23E-01
TET3,0.090,5.90E-01
TEX10,0.007,7.32E-01
TEX15,0.039,1.46E-01
TEX2,-0.055,3.63E-01
TEX26,0.070,3.44E-01
TEX261,-0.016,7.37E-01
TEX264,-0.071,4.47E-01
TEX29,0.003,9.12E-01
TEX30,-0.122,3.09E-01
TEX9,-0.035,6.47E-01
TF,-0.859,5.47E-02
TFAM,-0.023,9.17E-01
TFAP2E,-0.066,4.90E-01
TFAP4,0.108,3.82E-01
TFB1M,0.006,8.70E-01
TFB2M,0.000,6.35E-01
TFCP2,-0.124,6.20E-02
TFDP1,0.039,5.18E-01
TFDP2,0.061,1.32E-01
TFE3,0.081,1.52E-01
TFEB,-0.197,2.52E-01
TFEC,-0.140,4.71E-01
TFG,-0.080,2.56E-01
TFIP11,0.017,7.61E-01
TFPI,0.040,8.34E-01
TFPT,-0.020,8.39E-01
TFR2,0.264,6.68E-02
TFRC,-0.019,8.52E-01
TGDS,-0.120,2.58E-01
TGFA,-0.329,1.13E-01
TGFB1,-0.064,7.35E-01
TGFB2,0.133,8.47E-02
TGFB2-OT1,0.172,4.60E-01
TGFB3,-0.460,8.95E-02
TGFBI,0.134,6.99E-01
TGFBR1,-0.172,5.12E-01
TGFBR2,-0.098,3.89E-01
TGFBR3,0.071,2.60E-01
TGFBR3L,0.139,2.71E-01
TGFBRAP1,-0.027,5.95E-01
TGIF1,-0.004,9.68E-01
TGIF2-C20orf24,-0.006,8.74E-01
TGIF2P1,-0.044,6.02E-01
TGM2,-0.120,3.26E-01
TGOLN2,-0.065,2.92E-01
TGS1,-0.016,4.32E-01
THADA,-0.068,3.66E-01
THAP1,-0.017,8.23E-01
THAP10,-0.090,3.84E-01
THAP11,0.003,9.81E-01
THAP2,-0.084,8.32E-01
THAP3,-0.003,8.67E-01
THAP4,0.137,2.05E-01
THAP5,-0.164,7.27E-02
THAP5P2,-0.027,9.09E-01
THAP6,-0.193,6.53E-02
THAP7,-0.009,6.51E-01
THAP8,-0.081,3.24E-01
THAP9,-0.147,2.60E-01
THAP9-AS1,-0.135,1.07E-01
THBS1,0.107,8.13E-01
THBS2,-0.374,9.16E-02
THBS3,0.073,5.40E-01
THBS4,-0.035,8.24E-01
THEM4,-0.024,2.35E-01
THEM4P1,0.032,8.85E-01
THEM6,0.056,5.57E-01
THEMIS,-0.010,8.85E-01
THEMIS2,-0.168,5.98E-01
THG1L,-0.019,6.23E-01
THNSL1,-0.090,6.70E-01
THNSL2,-0.311,2.83E-01
THOC1,-0.108,8.84E-02
THOC2,-0.040,4.41E-01
THOC3,0.076,4.20E-01
THOC5,0.044,4.82E-01
THOC6,0.022,7.88E-01
THOC7,0.012,8.12E-01
THOP1,0.106,4.33E-01
THRA,-0.033,8.24E-01
THRAP3,-0.005,5.38E-01
THRB,0.372,9.71E-02
THRIL,0.061,1.14E-01
THSD1,0.208,9.83E-02
THSD4,-0.107,8.89E-02
THSD4-AS1,0.117,4.18E-01
THSD7A,0.015,9.43E-01
THTPA,-0.019,4.03E-01
THUMPD1,-0.039,5.13E-01
THUMPD2,-0.047,6.22E-01
THUMPD3,-0.070,1.66E-01
THUMPD3-AS1,-0.065,3.56E-01
THY1,0.351,2.60E-01
THYN1,0.022,8.78E-01
TIA1,-0.092,2.54E-01
TIAF1,-0.112,5.57E-01
TIAL1,-0.073,4.13E-01
TIAM1,-0.011,8.54E-01
TIAM2,0.266,2.32E-01
TICAM1,0.093,3.99E-01
TICAM2,0.049,7.74E-01
TIE1,0.110,9.51E-01
TIFA,0.024,5.68E-01
TIGD1,0.004,5.94E-01
TIGD2,-0.039,5.67E-01
TIGD5,0.052,6.70E-01
TIGD7,-0.047,6.85E-01
TIMELESS,-0.019,7.02E-01
TIMM10,-0.017,5.24E-01
TIMM10B,-0.040,1.91E-01
TIMM13,-0.045,4.58E-01
TIMM17A,0.009,9.83E-01
TIMM17B,-0.047,6.92E-01
TIMM21,-0.019,9.84E-01
TIMM22,0.105,2.15E-01
TIMM23,0.034,4.60E-01
TIMM23B,-0.018,5.94E-01
TIMM44,0.090,4.63E-01
TIMM50,-0.008,9.43E-01
TIMM8A,0.005,8.61E-01
TIMM8B,-0.050,3.47E-01
TIMM9,-0.046,6.99E-01
TIMMDC1,-0.129,1.32E-01
TIMP1,0.024,9.12E-01
TIMP2,-0.081,4.16E-01
TIMP3,0.164,2.04E-01
TIMP4,-0.006,8.59E-01
TINAGL1,0.115,6.88E-01
TINF2,-0.111,1.21E-01
TIPARP,-0.152,5.31E-01
TIPIN,-0.016,3.58E-01
TIPRL,-0.040,9.47E-01
TIRAP,0.069,4.80E-01
TJAP1,-0.232,1.53E-01
TJP1,-0.120,2.50E-01
TJP2,-0.354,1.33E-01
TK2,-0.098,1.52E-01
TKT,0.116,2.20E-01
TLCD1,0.051,7.13E-01
TLCD2,-0.012,7.33E-01
TLDC1,0.009,6.73E-01
TLDC2,-0.222,4.00E-01
TLE1,0.094,2.74E-01
TLE2,0.136,1.45E-01
TLE3,0.110,3.61E-01
TLE4,-0.072,6.91E-01
TLK1,0.041,5.46E-01
TLK2,-0.029,5.19E-01
TLK2P1,0.408,8.61E-02
TLK2P2,-0.027,8.24E-01
TLL1,0.043,7.42E-01
TLN1,-0.086,3.79E-01
TLN2,0.091,3.83E-01
TLR1,-0.142,3.53E-01
TLR10,-0.073,4.46E-01
TLR2,-0.137,8.98E-01
TLR3,-0.023,9.98E-01
TLR4,-0.110,9.49E-01
TLR5,-0.026,8.87E-01
TLR6,-0.085,5.14E-01
TLR7,-0.022,9.93E-01
TM2D1,-0.094,2.08E-01
TM2D2,0.042,6.25E-01
TM2D3,-0.020,6.39E-01
TM4SF1,-0.008,8.61E-01
TM4SF18,-0.016,9.33E-01
TM4SF19-AS1,-0.017,9.11E-01
TM6SF1,-0.070,6.12E-01
TM7SF2,-0.111,3.12E-01
TM7SF3,-0.004,5.56E-01
TM9SF1,0.029,8.55E-01
TM9SF2,-0.029,7.24E-01
TM9SF3,-0.148,1.05E-01
TM9SF4,0.053,2.78E-01
TMA16,-0.124,8.49E-02
TMA7,-0.032,5.32E-01
TMBIM1,-0.109,4.57E-01
TMBIM4,-0.156,1.57E-01
TMBIM6,-0.095,3.02E-01
TMC6,-0.229,3.19E-01
TMC7,-0.159,3.00E-01
TMC8,-0.087,6.02E-01
TMCC1,0.005,8.93E-01
TMCC1-AS1,0.056,2.14E-01
TMCC2,0.056,5.61E-01
TMCC3,-0.457,7.67E-02
TMCO1,-0.085,4.22E-01
TMCO3,-0.006,3.93E-01
TMCO6,0.051,8.92E-01
TMED1,-0.054,4.73E-01
TMED10,-0.118,2.77E-01
TMED10P1,0.018,9.66E-01
TMED2,-0.132,9.87E-02
TMED3,-0.053,5.26E-01
TMED4,-0.065,2.08E-01
TMED5,-0.213,1.14E-01
TMED7,-0.239,1.37E-01
TMED7-TICAM2,-0.018,8.82E-01
TMED8,0.059,3.51E-01
TMED9,0.005,8.11E-01
TMEFF1,-0.464,6.72E-02
TMEFF2,-0.086,3.05E-01
TMEM100,-0.102,8.31E-01
TMEM101,-0.076,1.45E-01
TMEM104,-0.104,2.32E-01
TMEM106A,-0.073,2.12E-01
TMEM106B,-0.213,9.49E-02
TMEM106C,0.133,2.20E-01
TMEM107,0.015,6.83E-01
TMEM108,0.224,9.89E-02
TMEM108-AS1,0.234,9.93E-02
TMEM109,-0.007,8.95E-01
TMEM11,0.001,8.43E-01
TMEM110,-0.070,1.62E-01
TMEM115,0.078,5.95E-01
TMEM116,-0.095,3.08E-01
TMEM117,-0.050,4.32E-01
TMEM119,-0.148,5.26E-01
TMEM120A,0.062,6.22E-01
TMEM120B,0.069,2.12E-01
TMEM123,-0.182,2.36E-01
TMEM125,-0.401,1.21E-01
TMEM126A,-0.052,9.61E-01
TMEM126B,-0.090,2.77E-01
TMEM127,0.163,9.70E-02
TMEM128,-0.183,1.92E-01
TMEM129,-0.111,1.79E-01
TMEM130,0.370,2.25E-01
TMEM131,-0.031,5.84E-01
TMEM132A,0.191,1.94E-01
TMEM132B,0.115,2.52E-01
TMEM132C,0.069,5.47E-01
TMEM132D,0.308,1.21E-01
TMEM132E,0.112,6.21E-01
TMEM133,0.057,4.17E-01
TMEM134,-0.066,2.65E-01
TMEM135,-0.054,3.30E-01
TMEM136,-0.113,2.37E-01
TMEM138,-0.026,4.17E-01
TMEM139,-0.393,7.57E-02
TMEM140,-0.168,5.01E-01
TMEM141,-0.127,1.25E-01
TMEM144,-0.567,8.70E-02
TMEM145,0.297,6.98E-02
TMEM147,-0.030,8.47E-01
TMEM147-AS1,-0.112,1.26E-01
TMEM14A,-0.050,9.42E-01
TMEM14B,-0.091,1.91E-01
TMEM14C,-0.068,5.92E-01
TMEM14E,-0.009,9.67E-01
TMEM150A,0.003,9.61E-01
TMEM150B,-0.023,6.10E-01
TMEM150C,0.030,6.28E-01
TMEM151A,-0.120,3.21E-01
TMEM151B,0.599,7.91E-02
TMEM155,0.142,4.49E-01
TMEM156,-0.127,3.98E-01
TMEM158,0.112,1.70E-01
TMEM159,0.019,5.45E-01
TMEM160,0.097,5.34E-01
TMEM161A,-0.018,9.15E-01
TMEM161B,-0.033,4.01E-01
TMEM161B-AS1,0.077,1.80E-01
TMEM163,0.090,4.76E-01
TMEM164,0.043,4.98E-01
TMEM165,-0.406,1.02E-01
TMEM167A,-0.119,2.92E-01
TMEM167B,-0.075,4.00E-01
TMEM168,-0.159,9.86E-02
TMEM169,0.030,6.60E-01
TMEM17,-0.032,9.81E-01
TMEM170A,-0.115,2.18E-01
TMEM170B,0.025,4.91E-01
TMEM171,-0.237,2.26E-01
TMEM173,-0.083,2.18E-01
TMEM175,0.053,8.02E-01
TMEM176A,-0.099,7.46E-01
TMEM176B,-0.109,7.29E-01
TMEM177,0.059,6.61E-01
TMEM178A,0.117,3.61E-01
TMEM178B,0.344,9.87E-02
TMEM179,0.331,8.53E-02
TMEM179B,-0.053,5.58E-01
TMEM18,-0.061,2.64E-01
TMEM180,0.133,1.22E-01
TMEM181,-0.034,5.17E-01
TMEM183A,0.069,3.02E-01
TMEM184B,0.066,2.81E-01
TMEM184C,-0.093,1.88E-01
TMEM185A,0.094,2.20E-01
TMEM185B,-0.036,5.83E-01
TMEM186,-0.002,8.80E-01
TMEM189,-0.168,3.06E-01
TMEM19,-0.042,9.57E-01
TMEM191B,0.074,6.63E-01
TMEM192,-0.091,1.51E-01
TMEM194A,-0.051,5.47E-01
TMEM194B,-0.104,1.60E-01
TMEM196,0.114,2.91E-01
TMEM198,0.133,1.98E-01
TMEM198B,-0.097,3.86E-01
TMEM199,-0.036,3.59E-01
TMEM2,0.249,8.65E-02
TMEM200A,-0.077,6.02E-01
TMEM200C,0.131,1.20E-01
TMEM201,0.057,7.06E-01
