gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
SPMIP5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SPMIP6	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	3
SPN	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	2	0
SPNS3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
SPOCK2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
SPOCK3	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPON1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
SPON2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	0	5
SPOPL	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	2	0
SPOPL-DT	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPOUT1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
SPP1	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
SPPL2A	downregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	1
SPPL2B	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SPR	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
SPRED3	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	missing	downregulated	downregulated	missing	missing	missing	missing	missing	missing	1	4
SPRING1P2	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPRN	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
SPRR2G	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	downregulated	0	3
SPRTN	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPRY1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SPRY2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
SPRYD3	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	3
SPRYD7	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	3
SPSB1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	3	0
SPSB2	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPSB3	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPTA1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
SPTAN1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SPTB	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	3
SPTBN2	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	5
SPTBN4	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	3
SPTBN5	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SPTLC2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	2	1
SPTLC3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
SPTSSA	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	3	0
SPTSSB	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	4
SPX	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
SQLE-DT	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SQOR	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	4	0
SQSTM1	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SRARP	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	3	0
SRCIN1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
SRD5A1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	4
SRD5A2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
SREBF2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	1	1
SREK1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
SREK1IP1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	1
SREK1IP1P1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
SRF	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
SRFBP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SRGAP1	upregulated	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	6	0
SRGAP3-AS4	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SRGN	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	upregulated	6	0
SRM	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
SRMS	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
SRP14-DT	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	2	0
SRP14P4	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
SRP19	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SRPK2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
SRPK3	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	3	1
SRPRB	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
SRPX	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	4	0
SRPX2	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	5	0
SRR	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
SRRD	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
SRRM1P3	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
SRRM2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
