Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
NPAS3,0.078,6.39E-01,,,
NPAT,-0.051,3.62E-01,,,
NPC1,0.105,2.39E-01,,,
NPC2,0.022,8.97E-01,,,
NPDC1,0.268,2.49E-01,,,
NPEPL1,0.076,9.59E-01,,,
NPEPPS,-0.016,8.93E-01,,,
NPFF,0.033,8.28E-01,,,
NPFFR2,0.013,9.56E-01,,,
NPHP1,-0.022,8.11E-01,,,
NPHP3,-0.008,8.91E-01,,,
NPHP3-ACAD11,-0.009,9.06E-01,,,
NPHP4,0.088,4.70E-01,,,
NPIPA1,0.063,8.51E-01,,,
NPIPA2,-0.008,9.58E-01,,,
NPIPA3,0.022,8.10E-01,,,
NPIPA5,0.007,9.14E-01,,,
NPIPA7,-0.166,7.70E-01,,,
NPIPA8,-0.444,3.28E-01,,,
NPIPB11,-0.007,9.36E-01,,,
NPIPB15,0.009,9.81E-01,,,
NPIPB3,0.045,9.76E-01,,,
NPIPB4,0.159,5.54E-01,,,
NPIPB5,0.075,8.04E-01,,,
NPIPB6,-0.008,8.66E-01,,,
NPIPB7,0.013,9.05E-01,,,
NPIPB8,0.033,9.57E-01,,,
NPIPB9,-0.006,9.00E-01,,,
NPIPP1,0.129,7.13E-01,,,
NPL,-0.058,9.21E-01,,,
NPLOC4,0.038,6.84E-01,,,
NPM1,-0.056,3.52E-01,,,
NPM1P10,0.035,9.01E-01,,,
NPM1P11,-0.003,8.60E-01,,,
NPM1P26,-0.158,3.45E-01,,,
NPM1P27,-0.019,8.40E-01,,,
NPM1P29,-0.037,8.51E-01,,,
NPM1P37,-0.002,9.20E-01,,,
NPM1P43,0.006,8.06E-01,,,
NPM1P44,-0.087,4.49E-01,,,
NPM1P8,0.031,7.36E-01,,,
NPM2,-0.008,8.61E-01,,,
NPM3,-0.047,3.82E-01,,,
NPNT,0.111,4.23E-01,,,
NPR2,-0.005,9.31E-01,,,
NPRL2,-0.022,9.79E-01,,,
NPRL3,0.168,3.13E-01,,,
NPTN,-0.136,4.02E-01,,,
NPTN-IT1,-0.052,7.18E-01,,,
NPTX1,0.054,6.41E-01,,,
NPTX2,-0.068,6.23E-01,,,
NPTXR,-0.042,6.59E-01,,,
NPY,0.207,4.99E-01,,,
NPY1R,-0.057,9.11E-01,,,
NPY2R,-0.145,2.38E-01,,,
NPY5R,-0.101,3.62E-01,,,
NPY6R,-0.038,9.10E-01,,,
NQO1,0.107,5.79E-01,,,
NQO2,-0.068,5.99E-01,,,
NR1D1,0.103,6.79E-01,,,
NR1D2,-0.045,9.31E-01,,,
NR1H2,0.172,3.44E-01,,,
NR1H3,0.021,5.65E-01,,,
NR2C1,-0.011,7.59E-01,,,
NR2C2,-0.004,9.88E-01,,,
NR2C2AP,0.003,8.56E-01,,,
NR2E1,-0.061,9.07E-01,,,
NR2F1,0.022,7.83E-01,,,
NR2F1-AS1,-0.124,1.73E-01,,,
NR2F2,-0.156,2.77E-01,,,
NR2F6,0.119,2.91E-01,,,
NR3C1,-0.012,8.56E-01,,,
NR3C2,-0.019,8.69E-01,,,
NR4A1,-0.078,5.61E-01,,,
NR4A2,-0.004,8.42E-01,,,
NR4A3,-0.102,6.23E-01,,,
NRARP,0.097,9.27E-01,,,
NRAS,-0.062,2.01E-01,,,
NRAV,0.036,7.26E-01,,,
NRBF2,-0.023,9.85E-01,,,
NRBF2P5,0.042,8.21E-01,,,
NRBP1,0.004,9.30E-01,,,
NRBP2,0.043,9.76E-01,,,
NRCAM,-0.056,3.15E-01,,,
NRD1,-0.008,6.86E-01,,,
NRDE2,0.041,5.28E-01,,,
NREP,-0.094,6.46E-01,,,
NRF1,-0.005,9.34E-01,,,
NRG1,-0.093,6.58E-01,,,
NRG1-IT1,0.090,4.45E-01,,,
NRG2,0.093,3.02E-01,,,
NRG3,-0.054,3.22E-01,,,
NRG3-AS1,0.172,3.66E-01,,,
NRG4,-0.070,3.76E-01,,,
NRGN,0.197,2.78E-01,,,
NRIP1,-0.068,3.34E-01,,,
NRIP2,0.146,1.64E-01,,,
NRIP3,-0.070,7.12E-01,,,
NRN1,-0.117,3.59E-01,,,
NRON,0.124,1.52E-01,,,
NRP1,-0.098,3.29E-01,,,
NRP2,-0.033,8.12E-01,,,
NRSN1,-0.285,1.89E-01,,,
NRSN2,-0.099,4.14E-01,,,
NRSN2-AS1,-0.033,9.85E-01,,,
NRXN1,-0.132,2.83E-01,,,
NRXN2,0.241,2.39E-01,,,
NRXN3,-0.186,1.98E-01,,,
NSA2,0.003,9.85E-01,,,
NSD1,0.018,6.91E-01,,,
NSDHL,-0.051,8.76E-01,,,
NSF,-0.245,2.96E-01,,,
NSFL1C,-0.006,7.44E-01,,,
NSFP1,-0.479,2.53E-01,,,
NSG1,-0.080,8.85E-01,,,
NSL1,0.015,5.58E-01,,,
NSMAF,-0.055,1.95E-01,,,
NSMCE1,-0.032,7.27E-01,,,
NSMCE2,-0.023,6.40E-01,,,
NSMCE4A,0.008,9.43E-01,,,
NSMF,0.105,5.48E-01,,,
NSRP1,0.075,5.43E-01,,,
NSRP1P1,-0.075,8.82E-01,,,
NSUN2,-0.006,6.11E-01,,,
NSUN3,-0.056,9.10E-01,,,
NSUN4,-0.014,7.15E-01,,,
NSUN5,0.089,3.49E-01,,,
NSUN5P1,0.080,7.87E-01,,,
NSUN5P2,0.029,8.14E-01,,,
NSUN6,-0.082,2.12E-01,,,
NT5C,0.091,9.95E-01,,,
NT5C1A,0.084,2.19E-01,,,
NT5C2,-0.010,9.89E-01,,,
NT5C3A,-0.082,1.84E-01,,,
NT5C3B,0.030,7.70E-01,,,
NT5DC1,0.022,8.03E-01,,,
NT5DC2,0.116,4.16E-01,,,
NT5DC3,-0.124,3.59E-01,,,
NT5E,-0.075,5.44E-01,,,
NT5M,0.031,9.19E-01,,,
NTAN1,0.015,6.81E-01,,,
NTAN1P1,-0.068,9.06E-01,,,
NTAN1P2,0.028,8.48E-01,,,
NTHL1,0.111,5.71E-01,,,
NTM,-0.054,3.33E-01,,,
NTMT1,0.085,7.81E-01,,,
NTN1,0.144,4.15E-01,,,
NTN4,-0.099,2.34E-01,,,
NTNG1,-0.102,3.93E-01,,,
NTNG2,0.170,3.65E-01,,,
NTPCR,-0.046,6.55E-01,,,
NTRK2,-0.155,1.85E-01,,,
NTRK3,-0.021,8.71E-01,,,
NTS,-0.020,3.49E-01,,,
NTSR2,-0.103,7.84E-01,,,
NUAK1,-0.035,7.44E-01,,,
NUAK2,-0.008,9.19E-01,,,
NUB1,-0.014,8.43E-01,,,
NUBP1,0.045,9.08E-01,,,
NUBP2,0.210,3.02E-01,,,
NUBPL,-0.059,4.97E-01,,,
NUCB1,0.048,8.57E-01,,,
NUCB2,-0.037,7.24E-01,,,
NUCKS1,-0.097,2.63E-01,,,
NUDC,0.044,6.39E-01,,,
NUDCD1,-0.092,3.80E-01,,,
NUDCD2,-0.033,8.38E-01,,,
NUDCD3,-0.012,9.49E-01,,,
NUDCP1,0.137,3.99E-01,,,
NUDT1,0.086,9.60E-01,,,
NUDT10,-0.028,8.32E-01,,,
NUDT11,-0.307,1.76E-01,,,
NUDT12,-0.072,6.60E-01,,,
NUDT13,-0.010,9.76E-01,,,
NUDT14,0.087,8.47E-01,,,
NUDT15,-0.064,4.58E-01,,,
NUDT15P2,0.004,8.89E-01,,,
NUDT16,0.025,5.43E-01,,,
NUDT16L1,0.096,3.38E-01,,,
NUDT18,0.066,9.90E-01,,,
NUDT19,-0.007,9.37E-01,,,
NUDT19P5,0.024,8.69E-01,,,
NUDT2,-0.042,6.70E-01,,,
NUDT21,-0.091,3.67E-01,,,
NUDT21P1,0.010,8.29E-01,,,
NUDT22,0.180,4.53E-01,,,
NUDT3,0.090,6.18E-01,,,
NUDT4,-0.059,4.93E-01,,,
NUDT4P1,-0.153,6.58E-01,,,
NUDT5,0.045,2.74E-01,,,
NUDT6,0.076,6.90E-01,,,
NUDT7,-0.161,3.09E-01,,,
NUDT9,0.012,7.67E-01,,,
NUFIP1,-0.043,3.11E-01,,,
NUFIP2,-0.027,8.66E-01,,,
NUGGC,-0.024,9.31E-01,,,
NUMA1,0.106,2.29E-01,,,
NUMB,-0.003,9.27E-01,,,
NUMBL,0.116,6.62E-01,,,
NUP107,-0.005,8.10E-01,,,
NUP133,-0.044,4.52E-01,,,
NUP153,-0.009,8.38E-01,,,
NUP155,-0.044,4.10E-01,,,
NUP160,-0.024,4.84E-01,,,
NUP188,0.050,4.02E-01,,,
NUP205,-0.023,5.85E-01,,,
NUP210,0.124,2.01E-01,,,
NUP214,0.034,5.16E-01,,,
NUP35,-0.015,8.81E-01,,,
NUP37,-0.048,4.97E-01,,,
NUP43,-0.021,6.38E-01,,,
NUP50,-0.064,3.67E-01,,,
NUP50-AS1,-0.110,3.45E-01,,,
NUP54,-0.025,5.71E-01,,,
NUP62,0.072,3.55E-01,,,
NUP85,0.035,6.94E-01,,,
NUP88,0.016,9.95E-01,,,
NUP93,-0.072,4.28E-01,,,
NUP98,-0.006,8.25E-01,,,
NUPL1,-0.032,6.05E-01,,,
NUPL2,0.000,8.61E-01,,,
NUPR1,0.154,7.67E-01,,,
NUS1,-0.169,2.34E-01,,,
NUTF2,0.040,8.03E-01,,,
NUTM2A,0.108,6.84E-01,,,
NUTM2A-AS1,0.185,3.33E-01,,,
NUTM2B,0.127,3.78E-01,,,
NUTM2B-AS1,0.028,8.80E-01,,,
NUTM2D,0.103,3.69E-01,,,
NVL,-0.013,6.85E-01,,,
NWD1,0.047,6.58E-01,,,
NWD2,-0.175,1.85E-01,,,
NXF1,0.084,3.36E-01,,,
NXN,0.011,9.73E-01,,,
NXNL2,-0.016,9.55E-01,,,
NXPE3,0.007,5.08E-01,,,
NXPH1,-0.140,3.09E-01,,,
NXPH2,-0.038,9.51E-01,,,
NXPH3,0.049,7.81E-01,,,
NXT1,0.040,9.85E-01,,,
NXT2,-0.100,4.22E-01,,,
NYAP1,0.136,5.40E-01,,,
NYAP2,-0.106,3.23E-01,,,
NYNRIN,0.069,3.47E-01,,,
OAF,0.084,4.94E-01,,,
OARD1,-0.031,5.21E-01,,,
OAS1,0.113,5.52E-01,,,
OAS2,0.045,9.01E-01,,,
OAS3,0.150,3.90E-01,,,
OAT,-0.059,6.47E-01,,,
OATP1,0.089,2.13E-01,,,
OAZ1,0.011,9.20E-01,,,
OAZ2,-0.052,2.53E-01,,,
OBFC1,0.000,7.24E-01,,,
OBSL1,0.082,6.41E-01,,,
OCA2,0.038,8.21E-01,,,
OCEL1,0.108,4.65E-01,,,
OCIAD1,-0.068,4.54E-01,,,
OCIAD2,-0.012,6.05E-01,,,
OCLM,-0.062,9.30E-01,,,
OCLN,0.020,9.90E-01,,,
OCRL,-0.037,9.55E-01,,,
ODC1,-0.035,6.57E-01,,,
ODCP,0.054,5.42E-01,,,
ODF2,-0.001,5.63E-01,,,
ODF2L,-0.074,4.19E-01,,,
OFD1,0.018,9.72E-01,,,
OFD1P8Y,-0.019,8.39E-01,,,
OGDH,0.007,8.86E-01,,,
OGDHL,-0.074,6.63E-01,,,
OGFOD1,-0.049,2.84E-01,,,
OGFOD2,0.137,1.85E-01,,,
OGFOD3,0.100,2.61E-01,,,
OGFR,0.194,3.13E-01,,,
OGFRL1,-0.020,8.61E-01,,,
OGG1,0.061,6.49E-01,,,
OGN,0.005,9.71E-01,,,
OGT,-0.039,7.67E-01,,,
OIP5-AS1,-0.073,9.57E-01,,,
OLA1,-0.086,3.39E-01,,,
OLFM1,-0.029,9.67E-01,,,
OLFM2,0.174,2.53E-01,,,
OLFM3,-0.322,1.64E-01,,,
OLFML2A,0.000,9.93E-01,,,
OLFML2B,-0.019,7.46E-01,,,
OLFML3,0.074,5.26E-01,,,
OLIG1,0.159,4.06E-01,,,
OLIG2,0.097,6.42E-01,,,
OLMALINC,0.156,3.57E-01,,,
OLR1,0.035,7.50E-01,,,
OMA1,-0.009,9.84E-01,,,
OMD,-0.096,6.90E-01,,,
OMG,-0.008,8.98E-01,,,
OPA1,-0.064,3.95E-01,,,
OPA3,0.016,9.05E-01,,,
OPALIN,0.028,8.81E-01,,,
OPCML,-0.154,4.39E-01,,,
OPHN1,-0.037,8.11E-01,,,
OPLAH,0.143,3.72E-01,,,
OPN3,-0.112,7.88E-01,,,
OPRD1,0.111,4.61E-01,,,
OPRK1,0.003,7.44E-01,,,
OPRL1,0.081,8.88E-01,,,
OPRM1,-0.052,9.41E-01,,,
OPTN,-0.018,9.90E-01,,,
OR13E1P,0.052,6.58E-01,,,
OR14I1,-0.078,5.30E-01,,,
OR1X1P,-0.017,9.08E-01,,,
OR1X5P,0.006,9.25E-01,,,
OR2AK2,-0.008,6.91E-01,,,
OR2H2,0.152,3.73E-01,,,
OR2L13,-0.093,9.52E-01,,,
OR2L1P,-0.062,8.04E-01,,,
OR2L2,-0.086,9.27E-01,,,
OR2L3,-0.077,8.78E-01,,,
OR2L5,-0.093,9.90E-01,,,
OR2L6P,-0.054,8.89E-01,,,
OR2L8,-0.067,9.87E-01,,,
OR2L9P,-0.025,8.32E-01,,,
OR2T32P,-0.040,8.66E-01,,,
OR2X1P,-0.147,7.85E-01,,,
OR3A2,-0.001,8.93E-01,,,
OR4A14P,-0.042,8.86E-01,,,
OR5BK1P,-0.054,7.80E-01,,,
OR6E1P,0.041,4.64E-01,,,
OR6L1P,-0.011,9.90E-01,,,
OR6V1,0.072,3.41E-01,,,
OR6W1P,0.017,7.52E-01,,,
OR7A5,0.104,4.44E-01,,,
OR7D2,-0.030,8.29E-01,,,
OR7E125P,-0.111,9.44E-01,,,
OR7E126P,0.016,9.17E-01,,,
OR7E128P,0.015,9.01E-01,,,
OR7E154P,0.014,9.85E-01,,,
OR7E156P,0.002,7.73E-01,,,
OR7E160P,0.006,8.19E-01,,,
OR7E38P,0.022,9.94E-01,,,
OR7E7P,-0.031,8.49E-01,,,
OR7L1P,-0.035,6.42E-01,,,
OR7M1P,-0.053,7.48E-01,,,
OR8T1P,-0.060,8.53E-01,,,
OR9A2,0.052,7.91E-01,,,
OR9P1P,0.010,9.29E-01,,,
OR9S24P,-0.020,9.29E-01,,,
ORAI2,0.080,2.90E-01,,,
ORAI3,0.084,3.14E-01,,,
ORAOV1,0.039,5.12E-01,,,
ORC2,-0.058,4.84E-01,,,
ORC3,-0.078,2.95E-01,,,
ORC4,-0.047,6.79E-01,,,
ORC5,-0.047,3.86E-01,,,
ORC6,-0.015,8.50E-01,,,
ORMDL1,-0.051,3.38E-01,,,
ORMDL2,0.168,2.05E-01,,,
ORMDL3,-0.042,5.44E-01,,,
OS9,-0.045,4.76E-01,,,
OSBP,-0.053,3.59E-01,,,
OSBP2,0.069,6.32E-01,,,
OSBPL10,-0.115,2.40E-01,,,
OSBPL11,-0.018,9.90E-01,,,
OSBPL1A,-0.029,9.65E-01,,,
OSBPL2,0.009,7.33E-01,,,
OSBPL3,0.009,9.07E-01,,,
OSBPL5,0.092,5.09E-01,,,
OSBPL6,-0.045,7.82E-01,,,
OSBPL7,0.122,2.34E-01,,,
OSBPL8,-0.127,2.05E-01,,,
OSBPL9,0.001,9.21E-01,,,
OSBPL9P4,-0.056,7.39E-01,,,
OSBPL9P6,0.096,3.14E-01,,,
OSCP1,-0.015,9.45E-01,,,
OSER1,-0.023,6.39E-01,,,
OSER1-AS1,-0.042,6.55E-01,,,
OSGEP,0.031,8.97E-01,,,
OSGEPL1,-0.024,5.24E-01,,,
OSGEPL1-AS1,0.003,8.97E-01,,,
OSGIN1,0.138,3.40E-01,,,
OSGIN2,-0.050,5.38E-01,,,
OSMR,-0.003,9.26E-01,,,
OST4,0.046,7.81E-01,,,
OSTC,-0.037,4.41E-01,,,
OSTCP6,0.082,6.06E-01,,,
OSTCP7,0.002,8.67E-01,,,
OSTCP8,-0.052,9.45E-01,,,
OSTF1,-0.018,9.60E-01,,,
OSTM1,-0.052,5.41E-01,,,
OTOF,-0.023,5.49E-01,,,
OTOGL,-0.183,1.40E-01,,,
OTOS,0.010,9.40E-01,,,
OTUB1,0.022,9.31E-01,,,
OTUD1,-0.065,8.24E-01,,,
OTUD3,-0.053,4.66E-01,,,
OTUD4,-0.055,8.70E-01,,,
OTUD5,-0.009,9.64E-01,,,
OTUD6A,-0.036,8.06E-01,,,
OTUD6B,-0.039,5.67E-01,,,
OTUD6B-AS1,-0.089,4.16E-01,,,
OTUD7A,0.075,2.66E-01,,,
OTUD7B,0.094,4.62E-01,,,
OTULIN,-0.012,9.14E-01,,,
OVCA2,-0.043,8.03E-01,,,
OVCH1,0.053,5.48E-01,,,
OVGP1,0.016,9.38E-01,,,
OVOL3,0.040,5.60E-01,,,
OXA1L,0.019,7.81E-01,,,
OXCT1,-0.085,5.64E-01,,,
OXCT2,0.102,6.23E-01,,,
OXLD1,0.096,8.02E-01,,,
OXNAD1,-0.022,8.69E-01,,,
OXR1,-0.122,5.35E-01,,,
OXSM,-0.108,4.21E-01,,,
OXSR1,-0.051,3.64E-01,,,
OXTR,-0.073,6.62E-01,,,
P2RX2,0.011,9.76E-01,,,
P2RX4,0.033,8.01E-01,,,
P2RX5,0.049,6.41E-01,,,
P2RX5-TAX1BP3,-0.008,9.90E-01,,,
P2RX6,0.022,7.43E-01,,,
P2RX7,0.173,2.41E-01,,,
P2RY1,-0.077,7.51E-01,,,
P2RY12,0.051,8.21E-01,,,
P2RY13,0.048,4.13E-01,,,
P2RY14,-0.018,9.42E-01,,,
P3H1,0.027,8.99E-01,,,
P3H2,0.027,8.29E-01,,,
P3H2-AS1,0.008,9.35E-01,,,
P3H3,0.130,4.34E-01,,,
P3H4,-0.002,7.98E-01,,,
P4HA1,0.077,7.55E-01,,,
P4HA2,0.008,8.97E-01,,,
P4HB,0.012,9.55E-01,,,
P4HTM,0.068,6.62E-01,,,
PA2G4,-0.028,5.62E-01,,,
PA2G4P6,0.084,6.85E-01,,,
PAAF1,-0.098,2.91E-01,,,
PABPC1,-0.007,9.90E-01,,,
PABPC1L,0.005,9.97E-01,,,
PABPC1L2A,0.023,2.89E-01,,,
PABPC1L2B,-0.029,7.74E-01,,,
PABPC1P1,-0.030,9.43E-01,,,
PABPC1P11,-0.137,6.05E-01,,,
PABPC1P2,0.011,9.21E-01,,,
PABPC4,0.030,9.81E-01,,,
PABPC5-AS1,-0.045,8.05E-01,,,
PABPN1,0.078,6.41E-01,,,
PACRG,-0.027,8.15E-01,,,
PACRG-AS1,0.066,2.83E-01,,,
PACRGL,-0.053,3.23E-01,,,
PACS1,0.084,3.24E-01,,,
PACS2,0.232,1.97E-01,,,
PACSIN1,0.034,8.40E-01,,,
PACSIN2,-0.020,9.57E-01,,,
PACSIN3,0.166,1.92E-01,,,
PADI2,0.180,2.31E-01,,,
PAF1,-0.006,8.85E-01,,,
PAFAH1B1,-0.067,5.55E-01,,,
PAFAH1B2,-0.036,8.61E-01,,,
PAFAH1B3,0.205,2.39E-01,,,
PAFAH2,0.054,2.81E-01,,,
PAG1,-0.026,9.71E-01,,,
PAGR1,0.095,3.39E-01,,,
PAH,-0.154,4.31E-01,,,
PAICS,-0.015,8.44E-01,,,
PAICSP1,-0.013,9.76E-01,,,
PAICSP4,0.028,8.42E-01,,,
PAICSP7,-0.026,9.43E-01,,,
PAIP1,-0.032,9.56E-01,,,
PAIP1P1,-0.012,5.74E-01,,,
PAIP2,-0.053,4.88E-01,,,
PAIP2B,0.162,3.66E-01,,,
PAK1,-0.207,3.01E-01,,,
PAK1IP1,-0.029,9.10E-01,,,
PAK2,-0.003,8.49E-01,,,
PAK3,-0.119,2.80E-01,,,
PAK4,0.214,1.56E-01,,,
PAK6,-0.011,8.39E-01,,,
PAK7,-0.092,4.26E-01,,,
PALB2,-0.012,9.82E-01,,,
PALD1,0.136,3.15E-01,,,
PALLD,0.106,8.19E-01,,,
PALM,0.186,3.70E-01,,,
PALM2,-0.055,8.19E-01,,,
PALM2-AKAP2,-0.247,1.85E-01,,,
PALMD,-0.085,4.11E-01,,,
PAM,-0.091,4.02E-01,,,
PAM16,0.030,9.40E-01,,,
PAMR1,-0.143,3.17E-01,,,
PAN2,0.034,5.79E-01,,,
PAN3,-0.021,8.74E-01,,,
PANK1,-0.079,7.33E-01,,,
PANK2,0.010,9.06E-01,,,
PANK3,-0.083,2.83E-01,,,
PANK4,0.056,6.73E-01,,,
PANX1,-0.033,8.54E-01,,,
PANX2,0.263,1.94E-01,,,
PAOX,0.117,1.98E-01,,,
PAPD4,-0.019,7.23E-01,,,
PAPD5,-0.076,6.75E-01,,,
PAPD7,0.068,2.83E-01,,,
PAPL,0.050,3.53E-01,,,
PAPLN,0.049,9.28E-01,,,
PAPOLA,0.005,8.43E-01,,,
PAPOLG,-0.066,5.36E-01,,,
PAPSS1,-0.008,9.45E-01,,,
PAPSS2,-0.082,5.63E-01,,,
PAQR3,-0.092,4.59E-01,,,
PAQR4,0.169,2.01E-01,,,
PAQR6,0.104,7.62E-01,,,
PAQR7,-0.006,9.19E-01,,,
PAQR8,0.082,3.32E-01,,,
PAQR9,-0.108,7.79E-01,,,
PARD3,-0.051,9.97E-01,,,
PARD3B,0.013,9.06E-01,,,
PARD6A,0.168,3.21E-01,,,
PARD6B,-0.029,5.48E-01,,,
PARD6G,0.006,8.82E-01,,,
PARD6G-AS1,0.122,3.11E-01,,,
PARG,-0.014,9.31E-01,,,
PARGP1,-0.021,8.34E-01,,,
PARK2,-0.107,2.17E-01,,,
PARK7,-0.030,7.59E-01,,,
PARL,-0.044,4.48E-01,,,
PARM1,-0.190,3.32E-01,,,
PARN,-0.059,4.94E-01,,,
PARP1,0.016,7.14E-01,,,
PARP10,0.184,2.34E-01,,,
PARP11,-0.093,4.52E-01,,,
PARP12,0.041,9.68E-01,,,
PARP14,0.033,9.68E-01,,,
PARP15,-0.018,9.23E-01,,,
PARP16,0.025,5.70E-01,,,
PARP2,-0.103,3.69E-01,,,
PARP3,0.069,6.41E-01,,,
PARP4,0.031,7.06E-01,,,
PARP4P1,-0.016,9.15E-01,,,
PARP6,0.026,7.16E-01,,,
PARP8,-0.047,9.20E-01,,,
PARP9,0.025,9.95E-01,,,
PARS2,0.037,5.15E-01,,,
PART1,-0.191,2.16E-01,,,
PARVA,-0.082,3.35E-01,,,
PARVB,0.015,8.56E-01,,,
PARVG,0.051,2.53E-01,,,
PASK,0.193,1.85E-01,,,
PATE4,-0.074,8.91E-01,,,
PATL1,0.030,9.14E-01,,,
PATZ1,0.045,6.68E-01,,,
PAWR,-0.001,8.14E-01,,,
PAX6,0.009,8.99E-01,,,
PAX8-AS1,-0.040,9.47E-01,,,
PAXBP1,0.026,8.59E-01,,,
PAXBP1-AS1,-0.055,3.90E-01,,,
PAXIP1,0.092,2.01E-01,,,
PAXIP1-AS1,-0.030,9.55E-01,,,
PAXIP1-AS2,0.039,7.52E-01,,,
PBDC1,0.007,8.96E-01,,,
PBLD,-0.050,6.21E-01,,,
PBOV1,-0.083,4.60E-01,,,
PBRM1,-0.033,6.24E-01,,,
PBX1,-0.081,8.24E-01,,,
PBX2,-0.027,8.33E-01,,,
PBX3,0.006,7.68E-01,,,
PBXIP1,0.021,8.37E-01,,,
PC,0.128,2.65E-01,,,
PCA3,0.080,4.13E-01,,,
PCAT14,0.032,3.87E-01,,,
PCAT18,-0.075,4.93E-01,,,
PCAT19,0.047,7.18E-01,,,
PCAT7,0.078,6.34E-01,,,
PCBD1,-0.008,8.05E-01,,,
PCBD2,-0.019,5.05E-01,,,
PCBP1,0.051,9.79E-01,,,
PCBP1-AS1,0.018,7.17E-01,,,
PCBP2,0.020,6.90E-01,,,
PCBP2-OT1,0.050,9.84E-01,,,
PCBP2P1,0.042,7.67E-01,,,
PCBP3,0.094,5.52E-01,,,
PCBP4,0.166,2.94E-01,,,
PCCA,-0.021,9.19E-01,,,
PCCB,-0.078,3.76E-01,,,
PCDH1,0.069,8.30E-01,,,
PCDH10,-0.006,8.92E-01,,,
PCDH11X,-0.118,2.54E-01,,,
PCDH11Y,-0.149,7.09E-01,,,
PCDH12,0.037,6.38E-01,,,
PCDH15,-0.029,7.70E-01,,,
PCDH17,0.040,9.00E-01,,,
PCDH18,-0.083,7.48E-01,,,
PCDH19,-0.234,2.33E-01,,,
PCDH20,-0.146,4.11E-01,,,
PCDH7,-0.116,5.79E-01,,,
PCDH8,-0.092,6.63E-01,,,
PCDH9,-0.015,9.28E-01,,,
PCDH9-AS3,-0.015,9.79E-01,,,
PCDH9-AS4,-0.109,4.61E-01,,,
PCDHA@,-0.030,6.51E-01,,,
PCDHAC2,-0.072,5.60E-01,,,
PCDHACT,-0.222,1.87E-01,,,
PCDHB@,0.021,8.65E-01,,,
PCDHB14,-0.009,5.44E-01,,,
PCDHG@,-0.002,8.86E-01,,,
PCDHGA10,-0.014,8.22E-01,,,
PCDHGA12,0.212,3.05E-01,,,
PCDHGA4,0.008,9.67E-01,,,
PCDHGA9,0.041,9.05E-01,,,
PCDHGB1,0.002,9.90E-01,,,
PCDHGB2,0.013,9.94E-01,,,
PCDHGB5,0.021,8.89E-01,,,
PCDHGB6,0.067,6.63E-01,,,
PCDHGB7,-0.023,7.91E-01,,,
PCDHGC3,0.101,5.13E-01,,,
PCDHGC4,-0.005,8.61E-01,,,
PCDHGC5,-0.211,3.53E-01,,,
PCED1A,0.148,1.56E-01,,,
PCF11,0.002,9.43E-01,,,
PCGF1,-0.018,9.12E-01,,,
PCGF2,0.026,9.04E-01,,,
PCGF3,0.037,3.07E-01,,,
PCGF5,-0.091,2.79E-01,,,
PCGF6,-0.042,7.97E-01,,,
PCID2,-0.009,9.24E-01,,,
PCIF1,0.093,3.12E-01,,,
PCK1,0.161,2.99E-01,,,
PCK2,0.045,7.59E-01,,,
PCLO,-0.074,5.19E-01,,,
PCM1,-0.063,4.71E-01,,,
PCMT1,-0.045,7.72E-01,,,
PCMTD1,-0.090,3.95E-01,,,
PCMTD2,-0.085,4.86E-01,,,
PCNA,0.014,8.73E-01,,,
PCNP,-0.183,1.85E-01,,,
PCNT,0.107,4.94E-01,,,
PCNX,-0.025,3.49E-01,,,
PCNXL2,-0.064,3.28E-01,,,
PCNXL3,0.177,2.66E-01,,,
PCNXL4,0.008,8.70E-01,,,
PCP4,-0.105,9.15E-01,,,
PCP4L1,-0.072,6.94E-01,,,
PCSK1,-0.340,3.32E-01,,,
PCSK1N,0.276,4.69E-01,,,
PCSK2,-0.155,4.15E-01,,,
PCSK5,0.037,9.06E-01,,,
PCSK6,0.227,2.46E-01,,,
PCSK7,0.112,4.31E-01,,,
PCTP,-0.041,8.30E-01,,,
PCYOX1,-0.034,9.73E-01,,,
PCYOX1L,-0.001,9.11E-01,,,
PCYT1A,0.062,2.64E-01,,,
PCYT1B,-0.017,8.06E-01,,,
PCYT2,0.059,6.36E-01,,,
PDAP1,0.048,5.43E-01,,,
PDC,-0.010,9.29E-01,,,
PDCD10,-0.062,4.64E-01,,,
PDCD11,0.011,8.67E-01,,,
PDCD2,-0.061,3.45E-01,,,
PDCD2L,0.000,9.01E-01,,,
PDCD4,-0.059,6.81E-01,,,
PDCD5,0.001,8.78E-01,,,
PDCD6,-0.049,3.05E-01,,,
PDCD6IP,-0.027,8.63E-01,,,
PDCD6IPP1,-0.043,6.90E-01,,,
PDCD6IPP2,0.038,4.16E-01,,,
PDCD7,-0.046,5.25E-01,,,
PDCL,-0.024,6.94E-01,,,
PDCL3,0.019,6.74E-01,,,
PDCL3P2,-0.053,9.99E-01,,,
PDCL3P4,0.029,8.89E-01,,,
PDCL3P5,0.010,8.53E-01,,,
PDCL3P6,-0.002,8.57E-01,,,
PDDC1,0.041,8.47E-01,,,
PDE10A,-0.126,1.64E-01,,,
