Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
LRGUK,0.50,-0.5,3.3E-01,4.3E-01,1,0.01
LRIF1,0.00,3.5,9.6E-01,9.8E-01,1,0.00
LRIG1,-0.11,8.1,4.2E-01,5.2E-01,0,0.00
LRIG2,0.29,4.4,9.4E-03,2.2E-02,1,0.02
LRIG3,0.68,3.4,7.8E-04,2.6E-03,1,0.06
LRIT2,-0.32,0.0,3.7E-01,4.8E-01,0,0.00
LRMP,-0.77,3.2,1.4E-05,7.5E-05,0,0.11
LRP1,0.04,9.3,7.4E-01,8.1E-01,1,0.00
LRP10,0.57,7.6,5.7E-06,3.5E-05,1,0.09
LRP11,-0.58,5.6,2.2E-07,2.0E-06,0,0.11
LRP12,-0.55,4.4,2.0E-05,1.0E-04,0,0.07
LRP1B,-0.28,5.3,2.7E-02,5.5E-02,0,0.01
LRP2,0.89,6.6,8.2E-05,3.7E-04,1,0.10
LRP2BP,0.73,3.6,7.1E-05,3.2E-04,1,0.09
LRP3,-0.22,6.6,1.4E-01,2.2E-01,0,0.00
LRP4,0.56,8.5,2.9E-03,8.0E-03,1,0.04
LRP5,0.75,5.4,1.1E-06,8.4E-06,1,0.13
LRP5L,0.37,1.3,6.5E-02,1.1E-01,1,0.01
LRP6,0.37,5.7,1.0E-02,2.4E-02,1,0.02
LRP8,-0.07,5.2,6.5E-01,7.3E-01,0,0.00
LRPAP1,-0.33,7.1,2.0E-03,5.8E-03,0,0.02
LRPPRC,-0.50,6.9,4.9E-08,5.0E-07,0,0.10
LRR1,0.38,1.1,1.4E-01,2.2E-01,1,0.01
LRRC1,0.80,4.8,2.9E-08,3.3E-07,1,0.17
LRRC10B,-0.55,4.2,6.7E-03,1.7E-02,0,0.03
LRRC14,-0.27,5.4,1.6E-04,6.6E-04,0,0.03
LRRC16A,-0.10,4.8,5.2E-01,6.1E-01,0,0.00
LRRC16B,-0.70,3.5,2.1E-06,1.5E-05,0,0.11
LRRC17,0.12,0.7,7.3E-01,8.0E-01,1,0.00
LRRC2,-0.70,2.9,8.7E-04,2.9E-03,0,0.06
LRRC20,-0.89,5.2,1.0E-13,6.0E-12,0,0.30
LRRC23,0.14,4.6,1.9E-01,2.7E-01,1,0.00
LRRC25,0.45,2.4,3.4E-02,6.7E-02,1,0.02
LRRC27,-0.25,4.3,3.2E-03,8.7E-03,0,0.02
LRRC28,-0.07,4.0,4.8E-01,5.7E-01,0,0.00
LRRC29,-0.27,2.5,1.6E-01,2.4E-01,0,0.01
LRRC3,0.03,0.6,9.7E-01,9.8E-01,1,0.00
LRRC32,1.07,6.9,8.3E-09,1.1E-07,1,0.25
LRRC34,0.02,2.4,9.6E-01,9.7E-01,1,0.00
LRRC37A,-0.42,-0.5,5.1E-01,6.1E-01,0,0.00
LRRC37A2,0.34,2.0,2.2E-01,3.2E-01,1,0.01
LRRC37A3,0.10,2.9,5.4E-01,6.4E-01,1,0.00
LRRC37B,0.02,3.8,8.2E-01,8.7E-01,1,0.00
LRRC39,-0.13,0.0,6.6E-01,7.4E-01,0,0.00
LRRC3B,-1.19,3.9,1.3E-12,5.4E-11,0,0.40
LRRC3DN,0.01,1.2,9.9E-01,1.0E+00,1,0.00
LRRC4,-0.90,5.3,5.8E-11,1.4E-09,0,0.26
LRRC40,-0.59,3.7,7.4E-07,5.7E-06,0,0.10
LRRC41,-0.15,6.2,2.9E-02,5.9E-02,0,0.01
LRRC42,-0.07,4.0,3.8E-01,4.8E-01,0,0.00
LRRC43,-0.08,2.0,7.1E-01,7.9E-01,0,0.00
LRRC45,0.09,3.4,5.6E-01,6.5E-01,1,0.00
LRRC46,0.46,1.9,1.1E-01,1.8E-01,1,0.01
LRRC47,-0.30,6.0,4.4E-05,2.1E-04,0,0.04
LRRC48,0.21,3.4,1.9E-01,2.8E-01,1,0.00
LRRC49,-0.80,3.9,1.3E-12,5.1E-11,0,0.27
LRRC4B,-0.48,7.0,1.7E-05,9.1E-05,0,0.06
LRRC4C,-0.80,4.6,3.5E-11,8.6E-10,0,0.24
LRRC55,-0.57,3.4,5.9E-03,1.5E-02,0,0.03
LRRC56,-0.41,2.6,1.9E-02,4.0E-02,0,0.02
LRRC57,-0.26,3.5,1.3E-02,3.0E-02,0,0.01
LRRC58,0.30,5.6,4.5E-03,1.2E-02,1,0.02
LRRC59,0.02,5.9,8.2E-01,8.7E-01,1,0.00
LRRC6,0.02,2.5,9.0E-01,9.3E-01,1,0.00
LRRC61,0.04,3.7,8.4E-01,8.9E-01,1,0.00
LRRC63,0.02,1.6,9.4E-01,9.6E-01,1,0.00
LRRC66,0.64,-0.1,1.1E-01,1.8E-01,1,0.02
LRRC7,-0.99,4.6,1.1E-08,1.3E-07,0,0.23
LRRC71,0.64,0.7,6.4E-02,1.1E-01,1,0.02
LRRC73,-1.16,3.2,1.8E-08,2.1E-07,0,0.26
LRRC8A,0.14,8.1,2.1E-01,3.0E-01,1,0.00
LRRC8B,-0.54,5.8,1.2E-04,5.1E-04,0,0.06
LRRC8C,0.43,4.8,1.1E-03,3.6E-03,1,0.03
LRRC8D,0.01,6.3,9.3E-01,9.5E-01,1,0.00
LRRC9,1.08,0.9,2.1E-03,6.0E-03,1,0.08
LRRCC1,0.51,4.4,4.1E-04,1.5E-03,1,0.05
LRRFIP1,0.23,5.9,8.2E-02,1.4E-01,1,0.01
LRRFIP2,0.52,5.9,6.6E-10,1.1E-08,1,0.14
LRRIQ1,0.70,2.2,4.7E-03,1.2E-02,1,0.04
LRRIQ3,0.66,-0.2,5.1E-02,9.3E-02,1,0.02
LRRK1,-0.23,3.4,2.4E-01,3.3E-01,0,0.00
LRRK2,-0.04,4.6,7.7E-01,8.3E-01,0,0.00
LRRN1,0.34,5.2,2.0E-02,4.3E-02,1,0.02
LRRN2,-0.79,5.4,5.5E-09,7.4E-08,0,0.19
LRRN3,-0.83,4.1,7.9E-07,6.1E-06,0,0.14
LRRN4CL,-0.10,0.1,6.8E-01,7.6E-01,0,0.00
LRRTM1,-1.52,4.5,1.0E-11,3.0E-10,0,0.48
LRRTM2,-0.95,4.9,2.6E-06,1.8E-05,0,0.15
LRRTM3,-0.79,3.5,6.0E-06,3.7E-05,0,0.12
LRRTM4,-1.05,2.9,1.1E-08,1.4E-07,0,0.24
LRSAM1,-0.55,5.1,3.6E-08,3.9E-07,0,0.12
LRTM2,-2.13,3.9,6.2E-11,1.4E-09,0,0.63
LRTOMT,-0.02,4.6,8.6E-01,9.0E-01,0,0.00
LRWD1,-0.31,4.6,1.2E-03,3.7E-03,0,0.03
LSAMP,-0.63,7.6,1.1E-07,1.1E-06,0,0.12
LSG1,0.27,5.3,4.3E-03,1.1E-02,1,0.02
LSM1,-0.08,4.1,4.7E-01,5.7E-01,0,0.00
LSM10,0.13,5.4,2.6E-01,3.6E-01,1,0.00
LSM11,-0.84,3.7,8.1E-07,6.2E-06,0,0.15
LSM12,-0.23,2.5,2.7E-02,5.4E-02,0,0.01
LSM14A,0.32,6.9,1.1E-04,4.6E-04,1,0.04
LSM14B,-0.55,6.0,8.6E-15,7.8E-13,0,0.18
LSM2,0.27,4.8,1.1E-02,2.5E-02,1,0.01
LSM3,-0.18,5.2,5.5E-02,9.9E-02,0,0.01
LSM4,-0.34,6.1,3.5E-04,1.3E-03,0,0.03
LSM5,-0.05,3.8,6.8E-01,7.6E-01,0,0.00
LSM6,0.02,3.4,8.6E-01,9.0E-01,1,0.00
LSM7,0.10,4.8,4.5E-01,5.5E-01,1,0.00
LSMD1,-0.10,6.0,4.1E-01,5.2E-01,0,0.00
LSMEM1,1.94,1.2,3.9E-08,4.1E-07,1,0.41
LSMEM2,0.43,1.4,8.5E-02,1.4E-01,1,0.01
LSP1,0.35,3.5,1.7E-01,2.5E-01,1,0.01
LSR,0.84,5.0,4.1E-07,3.4E-06,1,0.15
LSS,0.52,7.6,8.3E-05,3.7E-04,1,0.06
LST1,-0.05,3.9,8.0E-01,8.5E-01,0,0.00
LTA4H,0.05,5.7,6.0E-01,6.9E-01,1,0.00
LTB4R,-0.03,1.5,8.9E-01,9.3E-01,0,0.00
LTBP1,1.36,6.5,5.9E-05,2.7E-04,1,0.16
LTBP2,1.17,5.5,1.0E-02,2.4E-02,1,0.06
LTBP3,0.38,7.3,2.9E-03,8.1E-03,1,0.03
LTBP4,0.47,5.7,5.7E-02,1.0E-01,1,0.02
LTBR,0.69,5.1,1.0E-08,1.3E-07,1,0.16
LTF,1.50,5.0,1.9E-02,4.1E-02,1,0.07
LTK,-0.36,0.1,2.7E-01,3.7E-01,0,0.01
LTN1,0.23,5.0,5.5E-02,9.9E-02,1,0.01
LTV1,-0.15,4.2,8.3E-02,1.4E-01,0,0.00
LUC7L,0.23,5.7,1.5E-02,3.3E-02,1,0.01
LUC7L3,0.64,7.4,4.0E-10,7.4E-09,1,0.17
LUM,1.39,2.7,2.4E-03,6.9E-03,1,0.10
LURAP1,0.15,2.5,3.9E-01,4.9E-01,1,0.00
LURAP1L,0.38,3.4,2.1E-01,2.9E-01,1,0.01
LUZP1,-0.19,5.9,1.0E-01,1.7E-01,0,0.00
LUZP2,-0.35,4.3,1.2E-02,2.7E-02,0,0.02
LXN,-0.46,2.1,7.0E-02,1.2E-01,0,0.01
LY6E,-0.46,7.5,1.5E-03,4.7E-03,0,0.04
LY6G5B,0.36,0.7,1.3E-01,2.0E-01,1,0.01
LY6G5C,0.44,2.3,4.5E-03,1.2E-02,1,0.03
LY6H,-0.73,7.2,1.3E-04,5.3E-04,0,0.08
LY6K,-0.14,-0.4,7.7E-01,8.3E-01,0,0.00
LY75,0.19,1.4,3.7E-01,4.7E-01,1,0.00
LY86,-0.05,3.7,7.6E-01,8.2E-01,0,0.00
LY96,0.79,2.3,8.8E-05,3.9E-04,1,0.09
LYAR,0.23,3.6,2.6E-02,5.3E-02,1,0.01
LYG1,1.28,0.6,5.7E-07,4.6E-06,1,0.23
LYL1,0.62,3.5,2.4E-05,1.2E-04,1,0.08
LYN,-0.08,4.6,5.2E-01,6.2E-01,0,0.00
LYNX1,-1.00,8.4,2.4E-15,2.8E-13,0,0.33
LYPD1,-0.59,3.9,8.7E-03,2.1E-02,0,0.03
LYPD3,0.36,0.1,3.4E-01,4.4E-01,1,0.00
LYPD5,-0.60,3.5,4.7E-05,2.3E-04,0,0.07
LYPD6,-0.33,3.6,2.1E-02,4.5E-02,0,0.01
LYPD6B,-1.24,1.6,9.8E-06,5.7E-05,0,0.18
LYPLA1,0.26,3.6,2.6E-02,5.3E-02,1,0.01
LYPLA2,-0.16,5.4,1.1E-01,1.8E-01,0,0.00
LYPLAL1,-0.35,4.1,1.9E-03,5.5E-03,0,0.03
LYRM1,-0.24,4.6,4.4E-02,8.3E-02,0,0.01
LYRM2,-0.08,5.5,3.1E-01,4.1E-01,0,0.00
LYRM4,-0.25,4.7,1.8E-02,3.9E-02,0,0.01
LYRM5,-0.06,4.5,5.1E-01,6.1E-01,0,0.00
LYRM7,-0.28,5.0,1.7E-03,5.1E-03,0,0.02
LYRM9,-1.23,4.5,8.8E-15,7.9E-13,0,0.41
LYSMD1,-0.03,3.8,7.8E-01,8.4E-01,0,0.00
LYSMD2,-0.46,4.5,3.5E-06,2.3E-05,0,0.07
LYSMD3,0.52,4.1,2.8E-05,1.4E-04,1,0.07
LYSMD4,-0.18,3.3,2.1E-01,3.0E-01,0,0.00
LYST,0.42,5.4,8.0E-04,2.6E-03,1,0.04
LYVE1,0.34,4.7,1.2E-01,2.0E-01,1,0.01
LYZ,1.55,3.2,4.4E-08,4.6E-07,1,0.33
LZIC,0.12,5.1,2.5E-01,3.4E-01,1,0.00
LZTFL1,-0.41,4.4,9.9E-04,3.2E-03,0,0.03
LZTR1,-0.01,6.3,9.1E-01,9.4E-01,0,0.00
LZTS1,-0.65,5.9,3.0E-04,1.1E-03,0,0.06
LZTS2,0.37,7.1,7.5E-04,2.5E-03,1,0.03
LZTS3,-0.57,7.4,1.5E-04,6.1E-04,0,0.06
M1AP,-0.67,0.8,1.1E-02,2.5E-02,0,0.04
M6PR,0.10,5.7,2.6E-01,3.5E-01,1,0.00
MAATS1,-0.03,2.4,8.5E-01,9.0E-01,0,0.00
MAB21L1,-0.43,0.5,6.0E-02,1.1E-01,0,0.01
MAB21L2,1.39,-0.2,3.6E-03,9.6E-03,1,0.09
MACF1,0.46,9.1,4.2E-04,1.5E-03,1,0.04
MACROD1,-0.03,3.7,7.8E-01,8.4E-01,0,0.00
MACROD2,-1.17,3.2,3.7E-11,9.1E-10,0,0.35
MAD1L1,-0.38,4.5,1.8E-03,5.3E-03,0,0.03
MAD2L1,-1.01,1.9,2.2E-08,2.6E-07,0,0.22
MAD2L1BP,-0.38,3.8,2.2E-03,6.4E-03,0,0.03
MAD2L2,0.23,5.2,2.5E-02,5.2E-02,1,0.01
MADCAM1,-0.25,1.1,2.3E-01,3.2E-01,0,0.00
MADD,-0.59,7.3,9.3E-09,1.2E-07,0,0.14
MAEA,-0.31,5.8,6.3E-04,2.2E-03,0,0.03
MAEL,-1.45,0.8,3.9E-05,1.9E-04,0,0.18
MAF,0.48,5.5,1.3E-04,5.4E-04,1,0.05
MAF1,0.35,7.0,3.4E-04,1.3E-03,1,0.03
MAFB,0.57,4.1,1.0E-03,3.3E-03,1,0.05
MAFF,1.49,5.8,2.8E-09,4.1E-08,1,0.37
MAFG,0.25,6.6,4.0E-02,7.7E-02,1,0.01
MAFK,1.11,5.0,3.5E-10,6.6E-09,1,0.30
MAG,-0.49,8.9,9.0E-04,2.9E-03,0,0.04
MAGEF1,-0.44,5.5,7.3E-08,7.3E-07,0,0.09
MAGI1,-0.40,5.1,1.2E-04,5.0E-04,0,0.04
MAGI2,-0.21,6.6,7.4E-02,1.3E-01,0,0.01
MAGI3,-0.55,4.3,7.7E-07,5.9E-06,0,0.10
MAGOH,-0.13,4.1,1.9E-01,2.8E-01,0,0.00
MAGOHB,-0.18,2.7,2.0E-01,2.9E-01,0,0.00
MAK,0.80,0.5,3.5E-03,9.6E-03,1,0.05
MAK16,-0.44,3.4,3.6E-04,1.3E-03,0,0.04
MAL,-0.31,7.5,4.5E-02,8.4E-02,0,0.01
MAL2,-1.78,4.3,8.3E-11,1.9E-09,0,0.52
MALSU1,-0.09,3.8,4.2E-01,5.2E-01,0,0.00
MALT1,0.53,3.8,2.0E-05,1.0E-04,1,0.07
MAMDC2,0.97,1.2,1.1E-02,2.5E-02,1,0.05
MAMDC4,0.84,3.2,3.1E-05,1.5E-04,1,0.11
MAML1,0.39,5.5,9.3E-05,4.1E-04,1,0.04
MAML2,0.67,4.9,1.0E-05,6.0E-05,1,0.09
MAML3,0.16,3.5,2.7E-01,3.7E-01,1,0.00
MAMSTR,-0.70,2.1,3.6E-04,1.3E-03,0,0.07
MAN1A1,0.28,4.7,8.5E-02,1.4E-01,1,0.01
MAN1A2,0.02,6.1,8.3E-01,8.8E-01,1,0.00
MAN1B1,-0.27,6.1,1.8E-02,3.9E-02,0,0.01
MAN1C1,0.09,5.9,4.7E-01,5.7E-01,1,0.00
MAN2A1,0.85,6.1,4.6E-09,6.3E-08,1,0.20
MAN2A2,0.26,7.7,5.5E-02,1.0E-01,1,0.01
MAN2B1,0.30,4.7,3.3E-02,6.5E-02,1,0.01
MAN2B2,-0.19,6.0,3.9E-02,7.5E-02,0,0.01
MAN2C1,0.22,6.3,9.5E-02,1.6E-01,1,0.01
MANBA,0.31,4.7,1.5E-03,4.5E-03,1,0.02
MANBAL,-0.35,6.1,1.1E-04,4.8E-04,0,0.04
MANEA,0.43,3.7,3.1E-03,8.6E-03,1,0.03
MANEAL,-0.87,4.3,2.9E-13,1.5E-11,0,0.29
MANF,0.44,5.1,3.4E-02,6.6E-02,1,0.02
MANSC1,-0.20,4.6,5.2E-02,9.6E-02,0,0.01
MAP10,-1.09,1.3,1.2E-07,1.1E-06,0,0.22
MAP1A,-0.96,9.7,9.9E-13,4.1E-11,0,0.32
MAP1B,-0.56,9.7,1.8E-04,7.3E-04,0,0.06
MAP1LC3A,-0.79,6.4,1.9E-11,5.2E-10,0,0.24
MAP1LC3B,-0.18,7.6,1.7E-02,3.7E-02,0,0.01
MAP1LC3B2,-0.34,1.9,7.8E-02,1.3E-01,0,0.01
MAP1LC3C,0.50,0.0,1.9E-01,2.8E-01,1,0.01
MAP1S,-0.44,5.7,2.0E-04,8.0E-04,0,0.04
MAP2,-1.48,8.8,8.4E-15,7.7E-13,0,0.49
MAP2K1,-1.09,6.8,5.5E-14,3.6E-12,0,0.36
MAP2K2,-0.26,6.9,5.1E-03,1.3E-02,0,0.02
MAP2K3,0.52,4.6,6.1E-07,4.8E-06,1,0.09
MAP2K4,-0.74,6.4,4.0E-07,3.3E-06,0,0.14
MAP2K5,-0.23,4.7,1.7E-02,3.6E-02,0,0.01
MAP2K6,0.08,2.2,7.0E-01,7.7E-01,1,0.00
MAP2K7,0.22,5.7,1.9E-02,4.1E-02,1,0.01
MAP3K1,0.37,3.8,7.9E-03,1.9E-02,1,0.02
MAP3K10,-0.30,7.2,3.3E-02,6.5E-02,0,0.01
MAP3K11,0.43,6.9,5.2E-05,2.5E-04,1,0.05
MAP3K12,-0.16,5.1,1.2E-01,2.0E-01,0,0.00
MAP3K13,-0.31,5.0,4.0E-04,1.5E-03,0,0.03
MAP3K19,1.40,1.9,8.0E-05,3.6E-04,1,0.16
MAP3K2,0.43,5.4,2.8E-04,1.1E-03,1,0.04
MAP3K3,0.74,5.8,8.8E-16,1.3E-13,1,0.25
MAP3K4,0.12,5.1,2.0E-01,2.9E-01,1,0.00
MAP3K5,0.03,6.4,8.5E-01,8.9E-01,1,0.00
MAP3K6,0.49,4.8,1.6E-03,4.7E-03,1,0.04
MAP3K7,0.00,5.4,9.7E-01,9.8E-01,0,0.00
MAP3K7CL,1.19,2.3,8.7E-03,2.1E-02,1,0.07
MAP3K8,1.20,3.5,3.2E-11,8.1E-10,1,0.36
MAP3K9,-1.45,4.9,5.8E-12,1.9E-10,0,0.47
MAP4,0.18,10.4,1.0E-01,1.7E-01,1,0.00
MAP4K1,0.01,1.7,9.9E-01,9.9E-01,1,0.00
MAP4K2,0.15,5.4,1.3E-01,2.0E-01,1,0.00
MAP4K3,-0.23,4.8,4.6E-02,8.5E-02,0,0.01
MAP4K4,0.99,9.8,1.2E-11,3.5E-10,1,0.31
MAP4K5,0.67,5.8,1.6E-10,3.4E-09,1,0.19
MAP6,-0.49,6.5,2.5E-07,2.1E-06,0,0.09
MAP6D1,-0.08,6.7,6.2E-01,7.1E-01,0,0.00
MAP7,0.28,7.2,1.6E-02,3.5E-02,1,0.01
MAP7D1,-0.13,8.3,1.9E-01,2.7E-01,0,0.00
MAP9,-0.68,4.7,8.8E-12,2.7E-10,0,0.22
MAPK1,-0.74,8.3,1.8E-12,7.1E-11,0,0.25
MAPK10,-0.62,7.1,9.6E-09,1.2E-07,0,0.14
MAPK11,-0.31,5.8,1.2E-02,2.8E-02,0,0.02
MAPK12,-0.08,4.8,5.9E-01,6.8E-01,0,0.00
MAPK13,-0.73,1.7,2.3E-03,6.6E-03,0,0.05
MAPK14,0.04,5.6,6.2E-01,7.0E-01,1,0.00
MAPK15,0.70,2.3,6.6E-02,1.2E-01,1,0.02
MAPK1IP1L,0.01,5.5,9.4E-01,9.6E-01,1,0.00
MAPK3,-0.27,7.7,9.5E-03,2.3E-02,0,0.01
MAPK4,0.15,7.5,4.3E-01,5.3E-01,1,0.00
MAPK6,-0.34,5.4,1.5E-03,4.5E-03,0,0.03
MAPK7,0.37,4.3,1.2E-03,3.7E-03,1,0.03
MAPK8,-0.48,5.1,1.6E-06,1.1E-05,0,0.08
MAPK8IP1,-0.42,8.5,1.3E-04,5.5E-04,0,0.05
MAPK8IP2,-0.77,8.0,9.4E-08,9.0E-07,0,0.15
MAPK8IP3,-0.76,8.1,5.6E-11,1.3E-09,0,0.22
MAPK9,-0.82,6.6,2.9E-12,1.1E-10,0,0.27
MAPKAP1,0.03,7.0,6.9E-01,7.6E-01,1,0.00
MAPKAPK2,0.64,6.8,2.7E-09,4.1E-08,1,0.16
MAPKAPK3,-0.11,5.1,3.6E-01,4.7E-01,0,0.00
MAPKAPK5,0.08,4.5,3.7E-01,4.7E-01,1,0.00
MAPKBP1,0.33,5.5,2.7E-03,7.5E-03,1,0.02
MAPRE1,0.27,6.7,8.3E-04,2.7E-03,1,0.02
MAPRE2,-0.37,8.2,2.7E-05,1.4E-04,0,0.05
MAPRE3,-0.95,7.2,6.8E-13,3.0E-11,0,0.32
MAPT,-0.33,9.2,9.2E-03,2.2E-02,0,0.02
MARC1,-0.56,3.5,1.9E-04,7.5E-04,0,0.06
MARC2,-0.44,3.8,2.1E-03,6.0E-03,0,0.03
MARCH1,0.10,5.1,4.0E-01,5.0E-01,1,0.00
MARCH10,0.26,0.5,4.8E-01,5.8E-01,1,0.00
MARCH11,-1.35,0.3,2.8E-04,1.0E-03,0,0.13
MARCH2,-0.08,6.5,5.1E-01,6.1E-01,0,0.00
MARCH3,0.94,4.1,3.8E-08,4.1E-07,1,0.20
MARCH4,-1.68,3.2,1.2E-14,1.0E-12,0,0.56
MARCH5,-0.40,4.8,2.6E-06,1.8E-05,0,0.06
MARCH6,0.00,7.5,9.7E-01,9.8E-01,0,0.00
MARCH7,0.13,5.3,2.4E-01,3.3E-01,1,0.00
MARCH8,0.59,6.3,3.8E-08,4.1E-07,1,0.13
MARCH9,-0.16,4.6,8.1E-02,1.4E-01,0,0.00
MARCKS,-0.17,7.0,9.3E-02,1.6E-01,0,0.00
MARCKSL1,-0.52,8.8,1.3E-04,5.6E-04,0,0.06
MARCO,-0.02,2.4,9.4E-01,9.6E-01,0,0.00
MARK1,-0.65,4.1,2.4E-05,1.2E-04,0,0.08
MARK2,0.05,6.1,5.2E-01,6.2E-01,1,0.00
MARK3,0.03,6.2,6.5E-01,7.4E-01,1,0.00
MARK4,-0.56,6.1,2.5E-09,3.8E-08,0,0.14
MARS,-0.19,6.6,3.1E-02,6.2E-02,0,0.01
MARS2,-0.03,2.8,8.2E-01,8.7E-01,0,0.00
MARVELD1,0.67,3.8,1.0E-02,2.4E-02,1,0.04
MARVELD2,0.71,2.5,1.1E-03,3.4E-03,1,0.06
MAS1,-2.76,-0.6,2.5E-05,1.3E-04,0,0.36
MASP1,0.61,5.6,3.9E-05,1.9E-04,1,0.08
MASP2,0.18,0.3,4.8E-01,5.8E-01,1,0.00
MAST1,-1.08,5.2,7.6E-10,1.3E-08,0,0.29
MAST2,-0.02,6.1,7.6E-01,8.2E-01,0,0.00
MAST3,-0.54,7.3,3.9E-05,1.9E-04,0,0.07
MAST4,-0.03,5.4,8.0E-01,8.5E-01,0,0.00
MASTL,-0.44,2.4,8.6E-03,2.1E-02,0,0.02
MAT2A,0.26,7.7,4.4E-02,8.3E-02,1,0.01
MAT2B,-0.02,5.9,7.9E-01,8.5E-01,0,0.00
MATK,-0.74,5.6,1.2E-04,5.0E-04,0,0.08
MATN1,-0.13,-0.4,7.6E-01,8.3E-01,0,0.00
MATN2,0.52,6.0,2.1E-04,8.1E-04,1,0.05
MATN3,-0.04,3.2,9.0E-01,9.3E-01,0,0.00
MATR3,-0.30,8.6,5.1E-04,1.8E-03,0,0.03
MAU2,0.13,6.2,1.4E-01,2.1E-01,1,0.00
MAVS,0.43,5.3,1.2E-04,5.1E-04,1,0.05
MAX,0.56,6.4,2.4E-07,2.1E-06,1,0.11
MAZ,0.20,5.6,3.3E-02,6.5E-02,1,0.01
MB21D1,1.01,2.0,2.9E-05,1.5E-04,1,0.13
MB21D2,-0.17,2.7,2.1E-01,3.0E-01,0,0.00
MBD1,0.07,6.2,3.8E-01,4.8E-01,1,0.00
MBD2,0.62,5.3,1.9E-08,2.2E-07,1,0.14
MBD3,0.24,7.1,4.0E-02,7.6E-02,1,0.01
MBD4,-0.14,4.9,1.3E-01,2.0E-01,0,0.00
MBD5,-0.18,4.6,7.5E-02,1.3E-01,0,0.01
MBD6,0.40,5.6,3.1E-05,1.6E-04,1,0.05
MBIP,-0.15,4.2,1.1E-01,1.8E-01,0,0.00
MBLAC1,-0.67,1.7,1.1E-03,3.4E-03,0,0.06
MBLAC2,-0.73,3.6,4.8E-07,3.9E-06,0,0.13
MBNL1,0.31,6.6,1.5E-02,3.3E-02,1,0.02
MBNL2,0.33,7.4,1.7E-02,3.7E-02,1,0.02
MBOAT1,0.93,1.6,5.7E-05,2.7E-04,1,0.11
MBOAT2,0.25,6.7,2.2E-02,4.5E-02,1,0.01
MBOAT7,-0.50,7.3,2.8E-05,1.4E-04,0,0.06
MBP,0.17,14.2,3.1E-01,4.1E-01,1,0.00
MBTD1,0.10,4.0,4.5E-01,5.5E-01,1,0.00
MBTPS1,0.00,6.7,9.7E-01,9.8E-01,0,0.00
MC1R,0.61,0.6,1.8E-02,4.0E-02,1,0.03
MC4R,-2.01,0.5,1.3E-08,1.6E-07,0,0.45
MCAM,0.62,8.0,5.6E-02,1.0E-01,1,0.02
MCAT,-0.66,3.7,5.4E-07,4.3E-06,0,0.12
MCC,-0.05,5.2,6.5E-01,7.3E-01,0,0.00
MCCC1,0.02,5.3,8.6E-01,9.0E-01,1,0.00
MCCC2,-0.52,5.0,6.7E-06,4.0E-05,0,0.08
MCEE,-0.17,2.4,1.6E-01,2.4E-01,0,0.00
MCF2L,0.25,7.4,7.2E-02,1.2E-01,1,0.01
MCF2L2,0.19,6.1,3.2E-01,4.2E-01,1,0.00
MCFD2,-0.16,6.9,5.7E-02,1.0E-01,0,0.01
MCHR1,-1.84,2.3,3.6E-06,2.3E-05,0,0.28
MCL1,0.73,7.7,8.4E-10,1.4E-08,1,0.19
MCM2,-0.75,3.4,2.5E-08,2.9E-07,0,0.16
MCM3,0.12,5.4,2.6E-01,3.6E-01,1,0.00
MCM3AP,0.26,6.3,6.2E-03,1.6E-02,1,0.02
MCM4,-0.69,4.5,5.0E-08,5.2E-07,0,0.15
MCM5,0.16,4.7,1.8E-01,2.7E-01,1,0.00
MCM6,-0.34,4.3,7.7E-03,1.9E-02,0,0.02
MCM7,0.97,7.4,2.3E-12,8.6E-11,1,0.32
MCM8,0.51,2.2,1.9E-03,5.5E-03,1,0.04
MCM9,0.53,3.3,3.0E-05,1.5E-04,1,0.07
MCMBP,0.33,5.7,1.0E-03,3.3E-03,1,0.03
MCMDC2,-0.40,1.4,1.1E-01,1.7E-01,0,0.01
MCOLN1,-0.08,4.6,4.2E-01,5.2E-01,0,0.00
MCOLN3,-0.85,1.1,1.1E-02,2.6E-02,0,0.04
MCPH1,0.10,3.8,2.9E-01,3.9E-01,1,0.00
MCRS1,-0.14,6.0,8.6E-02,1.4E-01,0,0.00
MCTP1,-0.82,4.4,2.2E-06,1.5E-05,0,0.13
MCTP2,-0.29,0.1,4.3E-01,5.3E-01,0,0.00
MCU,-0.18,4.1,2.0E-01,2.9E-01,0,0.00
MCUR1,0.02,5.7,8.1E-01,8.6E-01,1,0.00
MDC1,0.07,5.1,4.5E-01,5.5E-01,1,0.00
MDFI,0.11,2.8,6.1E-01,7.0E-01,1,0.00
MDFIC,0.67,3.8,9.5E-05,4.2E-04,1,0.08
MDGA1,-0.02,4.9,8.6E-01,9.0E-01,0,0.00
MDGA2,-0.24,2.3,2.0E-01,2.9E-01,0,0.00
MDH1,-1.37,7.9,4.5E-18,1.9E-15,0,0.46
MDH1B,-0.47,2.1,4.1E-03,1.1E-02,0,0.03
MDH2,-0.67,7.1,2.4E-12,9.1E-11,0,0.22
MDK,-0.68,3.8,2.2E-03,6.3E-03,0,0.05
MDM1,0.25,4.0,1.3E-02,3.0E-02,1,0.01
MDM2,0.32,5.3,3.2E-03,8.8E-03,1,0.02
MDM4,0.79,5.0,1.0E-13,5.9E-12,1,0.26
