MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
DPCD|ENSG00000166171	ad	control	279.00	-0.516	0.6059	-++++--+
FAM133DP|ENSG00000230562	ad	control	62.00	0.707	0.4795	?????++?
PLXNC1|ENSG00000136040	ad	control	279.00	2.481	0.01311	+++++--+
IATPR|ENSG00000233387	ad	control	31.00	0.440	0.6597	??????+?
LIN7C|ENSG00000148943	ad	control	279.00	-1.243	0.214	+-+----+
ZNF787|ENSG00000142409	ad	control	279.00	-2.201	0.0277	-----++-
TSPAN12|ENSG00000106025	ad	control	279.00	-1.197	0.2314	-------+
RPRML|ENSG00000179673	ad	control	279.00	-0.662	0.5079	--+-+---
RBM23|ENSG00000100461	ad	control	279.00	-1.538	0.124	-----+++
JHY|ENSG00000109944	ad	control	279.00	-1.587	0.1125	-----+--
AIRE|ENSG00000160224	ad	control	134.00	-3.537	0.0004049	----?--?
CCDC54-AS1|ENSG00000239828	ad	control	279.00	-0.625	0.5318	-----++-
RHOB|ENSG00000143878	ad	control	279.00	-1.097	0.2725	----+---
HBA2|ENSG00000188536	ad	control	279.00	0.492	0.623	----+---
LINC03125|ENSG00000230387	ad	control	62.00	-1.857	0.06326	?????--?
WFDC10B|ENSG00000182931	ad	control	62.00	0.050	0.9604	?????-+?
RRAGB|ENSG00000083750	ad	control	279.00	0.866	0.3867	+++-+--+
Y_RNA|ENSG00000252965	ad	control	62.00	0.742	0.4581	?????+-?
DUX4L34|ENSG00000282935	ad	control	62.00	-0.003	0.9979	?????-+?
PKMP4|ENSG00000254023	ad	control	31.00	-0.054	0.9566	?????-??
ADGRD1-AS1|ENSG00000256151	ad	control	106.00	-0.350	0.726	???????-
VPS4B|ENSG00000119541	ad	control	173.00	3.856	0.0001152	+++++--?
TLK2P1|ENSG00000226049	ad	control	207.00	0.680	0.4962	????++-+
MAPK8IP3|ENSG00000138834	ad	control	173.00	2.150	0.03158	+++++--?
CCKBR|ENSG00000110148	ad	control	279.00	2.027	0.04268	+++++---
CTTN|ENSG00000288401	ad	control	173.00	2.629	0.008552	+-+++++?
IL1B|ENSG00000125538	ad	control	168.00	-1.284	0.1993	?????--+
PDGFA-DT|ENSG00000223855	ad	control	279.00	-3.379	0.0007265	------+-
LOC392196|ENSG00000254923	ad	control	145.00	1.083	0.2788	????+??+
SYNGR4|ENSG00000105467	ad	control	62.00	-2.900	0.003732	?????--?
FAM120A|ENSG00000048828	ad	control	279.00	-2.604	0.009222	-----++-
GABRA5|ENSG00000186297	ad	control	279.00	0.128	0.8983	+++----+
MFAP3L|ENSG00000198948	ad	control	279.00	1.146	0.252	++++-++-
LOC100506274|ENSG00000229727	ad	control	62.00	-2.014	0.04405	?????--?
CCDC149|ENSG00000181982	ad	control	279.00	0.503	0.6147	-++--++-
LOC284933|ENSG00000281732	ad	control	145.00	-2.380	0.01733	????-??-
COL6A6|ENSG00000206384	ad	control	173.00	-0.791	0.4287	--+-+--?
