MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
MAML2|ENSG00000184384	ad	control	173.0	-5.586	2.326e-08	-----+-?	2.7483120000000003e-05
AIRE|ENSG00000160224	ad	control	134.0	-3.537	0.0004049	----?--?	0.010809888372093023
VPS4B|ENSG00000119541	ad	control	173.0	3.856	0.0001152	+++++--?	0.0048336842105263155
PDGFA-DT|ENSG00000223855	ad	control	279.0	-3.379	0.0007265	------+-	0.01577197428139183
SYNGR4|ENSG00000105467	ad	control	62.0	-2.9	0.003732	?????--?	0.045753267834258864
SOCS6|ENSG00000170677	ad	control	279.0	-3.149	0.001637	-----+++	0.026544664031620552
BEX3|ENSG00000166681	ad	control	279.0	3.348	0.0008137	+++++--+	0.016971795058139536
GAD1|ENSG00000128683	ad	control	279.0	3.138	0.001701	+++++--+	0.02725778894472362
TP53INP1|ENSG00000164938	ad	control	279.0	-3.259	0.001117	------+-	0.02078660194174757
RB1|ENSG00000139687	ad	control	173.0	-3.522	0.0004278	+------?	0.01120242700729927
SLC30A9|ENSG00000014824	ad	control	279.0	4.241	2.227e-05	++++++++	0.0017695690607734806
MTHFR|ENSG00000177000	ad	control	279.0	-3.112	0.001856	----+---	0.028996842678279806
ARL17A|ENSG00000185829	ad	control	279.0	-4.102	4.101e-05	------+-	0.002501348195329087
LINC02389|ENSG00000255693	ad	control	173.0	3.511	0.0004457	+++++--?	0.011459444941808415
ARHGDIB|ENSG00000111348	ad	control	279.0	-3.871	0.0001085	--------	0.0046546337817638265
FSTL3|ENSG00000070404	ad	control	279.0	-3.123	0.001791	--------	0.028367384105960264
SPATA7|ENSG00000042317	ad	control	279.0	2.907	0.003648	++++-+++	0.04505060240963856
KSR1|ENSG00000141068	ad	control	279.0	-3.057	0.002239	-----++-	0.032519888663967614
SIPA1L3|ENSG00000105738	ad	control	279.0	-3.849	0.0001185	--------	0.004907575757575757
TNFAIP2|ENSG00000185215	ad	control	279.0	-3.162	0.001565	----+---	0.02576907630522088
RNF216|ENSG00000011275	ad	control	173.0	-4.752	2.012e-06	-------?	0.00040926986301369867
DHX35|ENSG00000101452	ad	control	173.0	4.117	3.834e-05	+++++-+?	0.002416212719298245
LAMC1|ENSG00000135862	ad	control	279.0	-3.785	0.000154	--------	0.005758684895833333
NRIP3|ENSG00000175352	ad	control	173.0	2.895	0.003796	+++++--?	0.046379395487441466
MVB12A|ENSG00000141971	ad	control	279.0	-3.224	0.001263	-----++-	0.022458550185873605
LFNG|ENSG00000106003	ad	control	279.0	-3.921	8.813e-05	--------	0.004080954838709677
NIF3L1|ENSG00000196290	ad	control	279.0	3.323	0.000889	+++++++-	0.017988028169014084
ISYNA1|ENSG00000105655	ad	control	279.0	-3.904	9.47e-05	-----++-	0.004280141732283464
